date,open,high,low,close,volume,average,barCount
2017-02-07,32.63,33.02,32.61,32.88,124701808.0,32.88225,139710
2017-02-08,32.84,33.06,32.81,33.01,72184216.0,32.916,86238
2017-02-09,32.92,33.11,32.78,33.1,78719988.0,32.982,93954
2017-02-10,33.11,33.24,33.02,33.03,63803916.0,33.0975,72858
2017-02-13,33.26,33.46,33.19,33.32,73687420.0,33.37825,87885
2017-02-14,33.36,33.77,33.31,33.76,100858480.0,33.57675,115615
2017-02-15,33.88,34.07,33.66,33.88,115060128.0,33.8575,129672
2017-02-16,33.92,33.98,33.71,33.84,74661700.0,33.8155,92468
2017-02-17,33.78,33.95,33.77,33.93,68305656.0,33.8525,78213
2017-02-21,34.06,34.19,33.99,34.18,70959284.0,34.099,82684
2017-02-22,34.12,34.28,34.03,34.28,58752300.0,34.163,69115
2017-02-23,34.35,34.37,34.08,34.13,67896004.0,34.18,91611
2017-02-24,33.98,34.17,33.82,34.17,70426492.0,33.986,87062
2017-02-27,34.25,34.36,34.07,34.23,63007896.0,34.2485,78937
2017-02-28,34.29,34.36,34.18,34.25,65910388.0,34.269,83720
2017-03-01,34.47,35.04,34.4,34.95,118592628.0,34.834,143052
2017-03-02,34.99,35.07,34.69,34.74,85831920.0,34.85975,110337
2017-03-03,34.69,34.96,34.65,34.95,62979812.0,34.8415,83654
2017-03-06,34.84,34.94,34.65,34.84,60204660.0,34.77675,79522
2017-03-07,34.78,34.99,34.7,34.88,55869516.0,34.872,73346
2017-03-08,34.74,34.95,34.71,34.75,57521636.0,34.8165,77285
2017-03-09,34.69,34.7,34.26,34.67,68527652.0,34.57825,87633
2017-03-10,34.81,34.84,34.66,34.79,62790700.0,34.771,81630
2017-03-13,34.71,34.86,34.71,34.8,50596756.0,34.78225,66443
2017-03-14,34.83,34.91,34.71,34.75,49135400.0,34.782,66409
2017-03-15,34.87,35.19,34.76,35.12,77838912.0,34.9875,99870
2017-03-16,35.18,35.26,35.07,35.17,63394588.0,35.15925,82731
2017-03-17,35.23,35.25,34.97,35.0,99097696.0,35.1735,84838
2017-03-20,35.1,35.38,35.06,35.37,65787396.0,35.2585,75060
2017-03-21,35.53,35.7,34.93,34.96,132784372.0,35.30275,171689
2017-03-22,34.96,35.4,34.94,35.35,86458840.0,35.2105,107270
2017-03-23,35.32,35.4,35.15,35.23,68073044.0,35.255,91549
2017-03-24,35.36,35.44,35.09,35.16,71592500.0,35.284,93722
2017-03-27,34.85,35.31,34.66,35.22,73471948.0,35.091,93525
2017-03-28,35.23,36.01,35.16,35.95,111694972.0,35.69275,141057
2017-03-29,35.92,36.12,35.8,36.03,92831488.0,35.9605,113633
2017-03-30,36.04,36.13,35.88,35.98,65312168.0,35.9975,78336
2017-03-31,35.93,36.07,35.75,35.92,59084684.0,35.9635,73475
2017-04-03,35.93,36.03,35.76,35.93,63980484.0,35.913,85427
2017-04-04,35.81,36.22,35.79,36.19,67437652.0,36.0635,85963
2017-04-05,36.16,36.37,35.95,36.01,92567720.0,36.21,119955
2017-04-06,36.07,36.13,35.86,35.92,68446788.0,35.99225,90817
2017-04-07,35.93,36.05,35.82,35.84,54680256.0,35.93725,76713
2017-04-10,35.9,35.97,35.73,35.79,57250576.0,35.849,79450
2017-04-11,35.74,35.84,35.02,35.41,104917812.0,35.3595,137898
2017-04-12,35.4,35.54,35.25,35.45,69898492.0,35.38475,97742
2017-04-13,35.46,35.6,35.26,35.26,58654048.0,35.46425,83860
2017-04-17,35.3,35.47,35.22,35.46,53184068.0,35.34825,68005
2017-04-18,35.36,35.51,35.28,35.3,48533156.0,35.37525,70191
2017-04-19,35.47,35.5,35.11,35.17,54301924.0,35.31525,80453
2017-04-20,35.3,35.73,35.29,35.61,76589848.0,35.5745,106760
2017-04-21,35.61,35.67,35.46,35.57,56111380.0,35.5685,74555
2017-04-24,35.88,35.99,35.8,35.91,54052004.0,35.921,74106
2017-04-25,35.99,36.23,35.97,36.13,58952212.0,36.12925,73931
2017-04-26,36.12,36.15,35.84,35.92,65426792.0,36.01925,90256
2017-04-27,35.98,36.04,35.83,35.95,42861420.0,35.91775,64792
2017-04-28,36.02,36.08,35.82,35.91,57992696.0,35.9375,77000
2017-05-01,36.27,36.8,36.24,36.65,102756772.0,36.567,120454
2017-05-02,36.88,37.02,36.71,36.88,125307336.0,36.8665,148459
2017-05-03,36.4,36.87,36.07,36.77,155463728.0,36.54725,196207
2017-05-04,36.65,36.79,36.45,36.63,75815744.0,36.58225,93991
2017-05-05,36.69,37.24,36.69,37.24,90719736.0,37.04925,105566
2017-05-08,37.26,38.43,37.26,38.25,167692684.0,37.99425,178364
2017-05-09,38.47,38.72,38.36,38.5,124134396.0,38.53525,149958
2017-05-10,38.41,38.49,38.03,38.32,84520332.0,38.27075,105252
2017-05-11,38.11,38.52,38.08,38.49,75027832.0,38.287,94149
2017-05-12,38.67,39.1,38.67,39.02,112367496.0,38.963,125420
2017-05-15,39.0,39.16,38.76,38.93,77264696.0,38.89775,93454
2017-05-16,38.99,39.02,38.68,38.87,63645004.0,38.82875,82535
2017-05-17,38.4,38.64,37.43,37.56,167998136.0,37.90575,208258
2017-05-18,37.82,38.34,37.78,38.13,114285788.0,38.1185,141063
2017-05-19,38.36,38.49,38.16,38.27,89246352.0,38.3385,101718
2017-05-22,38.51,38.65,38.23,38.5,73931732.0,38.4395,84734
2017-05-23,38.72,38.73,38.33,38.45,66186764.0,38.462,86715
2017-05-24,38.46,38.54,38.17,38.34,65189200.0,38.31675,78922
2017-05-25,38.43,38.59,38.26,38.47,64755428.0,38.45175,81387
2017-05-26,38.45,38.56,38.33,38.4,52335232.0,38.426,66516
2017-05-30,38.35,38.61,38.33,38.42,59435992.0,38.472,78707
2017-05-31,38.49,38.54,38.1,38.19,65372668.0,38.24825,89779
2017-06-01,38.29,38.33,38.06,38.3,51893792.0,38.2185,74704
2017-06-02,38.4,38.86,38.22,38.86,91064040.0,38.64225,118429
2017-06-05,38.6,38.61,38.37,38.48,81403712.0,38.47575,102177
2017-06-06,38.47,38.95,38.45,38.61,85639376.0,38.674,103355
2017-06-07,38.75,38.99,38.62,38.84,69581024.0,38.839,86921
2017-06-08,38.81,38.88,38.6,38.75,62550924.0,38.7225,88935
2017-06-09,38.8,38.8,36.51,37.24,219574948.0,37.568,278387
2017-06-12,36.41,36.52,35.63,36.35,245348636.0,36.06325,316116
2017-06-13,36.79,36.86,36.29,36.65,102734736.0,36.589,135261
2017-06-14,36.87,36.88,35.96,36.29,104464500.0,36.35375,144040
2017-06-15,35.79,36.12,35.55,36.07,108608068.0,35.87425,149480
2017-06-16,35.95,36.13,35.55,35.57,131799032.0,35.81925,135446
2017-06-19,36.0,36.69,35.92,36.59,102314372.0,36.42675,132941
2017-06-20,36.72,36.72,36.24,36.25,78688736.0,36.37575,112998
2017-06-21,36.38,36.52,36.15,36.47,61166300.0,36.37225,88292
2017-06-22,36.44,36.68,36.28,36.41,57267344.0,36.4475,81088
2017-06-23,36.29,36.79,36.28,36.57,65169800.0,36.5905,88188
2017-06-26,36.79,37.07,36.35,36.46,83897696.0,36.63975,111014
2017-06-27,36.25,36.54,35.91,35.93,82776752.0,36.2275,113884
2017-06-28,35.99,36.53,35.79,36.46,71365976.0,36.24325,98454
2017-06-29,36.19,36.28,35.57,35.92,106700836.0,35.907,151157
2017-06-30,36.11,36.24,35.95,36.01,66115364.0,36.11,89914
2017-07-03,36.24,36.33,35.77,35.88,44360468.0,36.0115,66583
2017-07-05,35.92,36.2,35.68,36.02,65017676.0,35.98425,86768
2017-07-06,35.77,35.88,35.6,35.68,76548016.0,35.71425,107280
2017-07-07,35.73,36.19,35.73,36.05,58117664.0,36.016,79430
2017-07-10,36.05,36.49,35.84,36.27,65676120.0,36.22625,88899
2017-07-11,36.18,36.46,36.1,36.38,59489564.0,36.299,83268
2017-07-12,36.45,36.55,36.21,36.44,76919376.0,36.36275,101071
2017-07-13,36.38,37.12,36.36,36.94,85587168.0,36.86875,110359
2017-07-14,36.99,37.33,36.83,37.26,66194472.0,37.1005,85761
2017-07-17,37.22,37.73,37.14,37.39,74884952.0,37.47725,93974
2017-07-18,37.37,37.53,37.17,37.52,58000720.0,37.352,78937
2017-07-19,37.61,37.85,37.49,37.76,64649432.0,37.70425,82182
2017-07-20,37.86,37.94,37.55,37.59,53587856.0,37.6995,72711
2017-07-21,37.56,37.61,37.22,37.57,70872608.0,37.4715,85517
2017-07-24,37.64,38.11,37.48,38.02,64832764.0,37.8755,82605
2017-07-25,37.95,38.46,37.95,38.19,60063608.0,38.297,81585
2017-07-26,38.34,38.48,38.27,38.37,46107048.0,38.38,60339
2017-07-27,38.44,38.5,36.83,37.64,110084640.0,37.7565,146884
2017-07-28,37.48,37.56,37.3,37.38,55079604.0,37.432,77593
2017-07-31,37.48,37.58,37.03,37.18,59575316.0,37.2365,81281
2017-08-01,37.27,37.56,37.1,37.51,84275952.0,37.295,107867
2017-08-02,39.88,39.94,39.04,39.29,227029316.0,39.4655,253744
2017-08-03,39.26,39.3,38.76,38.89,88364956.0,38.98675,108620
2017-08-04,39.02,39.35,38.92,39.1,69344324.0,39.114,86995
2017-08-07,39.25,39.73,39.17,39.7,69407320.0,39.48325,85265
2017-08-08,39.65,40.46,39.57,40.02,124857216.0,40.13875,150136
2017-08-09,39.82,40.32,39.78,40.27,89238904.0,40.11675,112141
2017-08-10,40.0,40.0,38.66,38.83,130442984.0,39.35075,164940
2017-08-11,39.16,39.65,39.02,39.37,88864844.0,39.38125,115102
2017-08-14,39.83,40.05,39.69,39.96,71976592.0,39.8865,90539
2017-08-15,40.18,40.55,40.04,40.4,97909328.0,40.35375,110980
2017-08-16,40.49,40.63,40.04,40.24,90872012.0,40.35725,114102
2017-08-17,40.13,40.18,39.46,39.47,91197056.0,39.752,126115
2017-08-18,39.49,39.88,39.18,39.38,92179756.0,39.557,119194
2017-08-21,39.38,39.47,38.78,39.3,84864836.0,39.149,109703
2017-08-22,39.56,40.0,39.51,39.95,66381816.0,39.876,87858
2017-08-23,39.77,40.12,39.72,39.99,59599088.0,39.96575,78796
2017-08-24,40.11,40.19,39.64,39.82,64376564.0,39.8605,93048
2017-08-25,39.91,40.14,39.82,39.97,67597916.0,39.98875,86977
2017-08-28,40.04,40.5,39.98,40.37,76159244.0,40.3105,88283
2017-08-29,40.03,40.78,40.0,40.73,99491912.0,40.54425,117680
2017-08-30,40.93,40.97,40.65,40.84,87914908.0,40.80575,104787
2017-08-31,40.91,41.13,40.87,41.0,83634440.0,40.99675,102766
2017-09-01,41.2,41.24,40.91,41.01,56340764.0,41.03475,70801
2017-09-05,40.92,41.06,40.14,40.52,100486904.0,40.6005,131456
2017-09-06,40.68,40.75,40.13,40.48,68240588.0,40.4385,91083
2017-09-07,40.52,40.56,40.09,40.32,74327888.0,40.356,100936
2017-09-08,40.23,40.29,39.63,39.66,84350996.0,39.9075,110213
2017-09-11,40.13,40.51,39.97,40.38,98397904.0,40.33075,129160
2017-09-12,40.65,40.99,39.69,40.22,252826388.0,40.3685,294158
2017-09-13,39.98,39.99,39.48,39.91,150663088.0,39.738,181015
2017-09-14,39.75,39.85,39.52,39.57,71198804.0,39.69675,92645
2017-09-15,39.62,40.24,39.5,39.97,131194076.0,39.894,134485
