date,open,high,low,close,volume,average,barCount
2017-02-13,13.7,13.95,13.38,13.49,51667252.0,13.641,104283
2017-02-14,13.45,13.49,13.19,13.26,37885238.0,13.338,77360
2017-02-15,13.18,13.44,13.15,13.3,30723814.0,13.291,67887
2017-02-16,13.25,13.35,12.84,12.97,50215610.0,13.033,96970
2017-02-17,12.76,13.14,12.6,13.13,37257211.0,12.936,69525
2017-02-21,13.41,14.1,13.4,14.0,63638270.0,13.844,112979
2017-02-22,14.3,14.5,14.04,14.28,67050547.0,14.252,129044
2017-02-23,14.2,14.45,13.82,14.32,75972115.0,14.159,155088
2017-02-24,13.99,14.32,13.86,14.12,43380310.0,14.129,88841
2017-02-27,14.27,15.35,14.27,15.2,91424204.0,14.98,171196
2017-02-28,15.45,15.55,14.35,14.46,109353004.0,14.773,242215
2017-03-01,15.08,15.09,14.52,14.96,67246957.0,14.769,131881
2017-03-02,14.58,14.78,13.87,13.9,97647774.0,14.273,186034
2017-03-03,13.56,13.58,12.79,13.03,147961608.0,13.146,298206
2017-03-06,13.01,13.34,12.38,13.04,111352540.0,12.848,195455
2017-03-07,13.07,13.37,12.79,13.05,72187355.0,13.148,149088
2017-03-08,13.25,13.55,13.1,13.22,67582568.0,13.323,118435
2017-03-09,13.45,13.45,13.11,13.33,41839653.0,13.267,86163
2017-03-10,13.48,13.93,13.45,13.91,59639741.0,13.694,117205
2017-03-13,14.46,14.68,14.18,14.28,67234454.0,14.37,140500
2017-03-14,13.99,14.15,13.64,14.1,50133466.0,13.887,98160
2017-03-15,14.03,14.06,13.62,13.98,52199612.0,13.87,107154
2017-03-16,13.79,13.88,13.65,13.65,41638644.0,13.726,90291
2017-03-17,13.7,13.74,13.36,13.49,51125681.0,13.523,113444
2017-03-20,13.68,14.5,13.54,14.4,85046789.0,14.224,145350
2017-03-21,14.37,14.49,13.78,13.82,67951738.0,14.038,135024
2017-03-22,13.71,14.15,13.55,14.1,58524393.0,13.874,115200
2017-03-23,13.96,14.12,13.77,13.79,40778040.0,13.928,85120
2017-03-24,14.16,14.18,13.54,13.7,47594422.0,13.82,106719
2017-03-27,13.35,13.78,13.21,13.7,39071606.0,13.537,73677
2017-03-28,13.75,13.86,13.55,13.69,34409630.0,13.685,64375
2017-03-29,13.74,13.87,13.63,13.71,34443981.0,13.76,65964
2017-03-30,13.74,14.05,13.65,14.05,40883994.0,13.885,75817
2017-03-31,14.08,14.75,14.01,14.55,80303253.0,14.528,145282
2017-04-03,14.63,14.74,14.3,14.64,46447907.0,14.564,100033
2017-04-04,14.31,14.67,14.03,14.16,53984233.0,14.313,104942
2017-04-05,14.28,14.64,14.1,14.17,55924094.0,14.423,110298
2017-04-06,13.41,13.46,12.83,13.27,131144697.0,13.12,243844
2017-04-07,13.33,13.68,13.22,13.52,65701469.0,13.389,120740
2017-04-10,13.53,13.59,13.08,13.1,43348680.0,13.243,80919
2017-04-11,13.02,13.29,12.71,13.1,57009575.0,13.025,121560
2017-04-12,12.94,13.1,12.74,12.76,32502556.0,12.892,74934
2017-04-13,12.51,12.72,12.22,12.31,49759586.0,12.505,108386
2017-04-17,12.54,12.8,12.37,12.79,35446826.0,12.61,73581
2017-04-18,12.63,12.97,12.58,12.95,32529247.0,12.823,67190
2017-04-19,13.09,13.21,12.8,12.84,34164317.0,12.97,70269
2017-04-20,12.96,13.15,12.88,13.11,39763177.0,13.02,75508
2017-04-21,13.09,13.12,12.9,13.0,23948325.0,12.991,51655
2017-04-24,13.2,13.23,13.04,13.13,32267951.0,13.149,63131
2017-04-25,13.24,13.53,13.16,13.49,33913611.0,13.38,67999
2017-04-26,13.45,13.53,13.22,13.41,32562641.0,13.384,68495
2017-04-27,13.43,13.7,13.37,13.62,28778937.0,13.591,61982
2017-04-28,13.72,13.76,13.16,13.3,46313570.0,13.401,99319
2017-05-01,13.42,13.63,13.25,13.62,51142645.0,13.477,109457
2017-05-02,11.73,11.76,10.3,10.32,243666564.0,10.924,429410
2017-05-03,10.29,10.68,9.85,10.39,134760299.0,10.29,242465
2017-05-04,10.55,10.55,9.94,10.1,72762860.0,10.117,138407
2017-05-05,10.14,10.26,9.94,10.19,47819751.0,10.106,81675
2017-05-08,10.21,10.22,10.0,10.04,32507927.0,10.056,59000
2017-05-09,10.03,10.4,10.03,10.18,44271670.0,10.239,80794
2017-05-10,10.46,10.85,10.43,10.79,61663896.0,10.67,114421
2017-05-11,10.74,11.26,10.51,11.07,69675724.0,10.91,130330
2017-05-12,11.2,11.4,11.08,11.26,53386537.0,11.235,106947
2017-05-15,11.41,11.6,11.3,11.42,49836254.0,11.48,100922
2017-05-16,11.67,12.77,11.63,12.75,151171038.0,12.311,271678
2017-05-17,11.71,12.29,11.16,11.2,149878339.0,11.68,284292
2017-05-18,10.99,11.49,10.81,11.28,81033762.0,11.243,145956
2017-05-19,11.46,11.62,11.35,11.41,47091645.0,11.491,86175
2017-05-22,11.49,11.55,10.77,11.04,75615579.0,11.051,144191
2017-05-23,10.97,11.06,10.62,10.89,46818485.0,10.796,91617
2017-05-24,11.05,11.06,10.71,10.89,38618864.0,10.881,80694
2017-05-25,11.02,11.03,10.8,10.98,29887771.0,10.917,69122
2017-05-26,10.85,11.02,10.74,11.0,30284190.0,10.911,62869
2017-05-30,10.95,11.27,10.9,11.12,33548598.0,11.137,75046
2017-05-31,11.29,11.49,11.1,11.19,36679610.0,11.232,82271
2017-06-01,11.29,11.29,10.81,10.93,41170120.0,10.94,88677
2017-06-02,10.94,10.96,10.56,10.9,40650455.0,10.784,86099
2017-06-05,10.84,11.34,10.8,11.24,59620068.0,11.18,129149
2017-06-06,11.27,12.24,11.24,12.03,109543845.0,11.978,198250
2017-06-07,12.42,12.96,12.23,12.38,142280135.0,12.615,261962
2017-06-08,12.8,12.91,12.4,12.9,79298149.0,12.672,150931
2017-06-09,13.1,13.4,11.63,12.28,160615777.0,12.625,313196
2017-06-12,11.75,12.35,11.47,12.09,115938628.0,11.948,242033
2017-06-13,12.33,12.48,11.67,11.96,83396402.0,12.009,156639
2017-06-14,11.91,12.05,11.65,11.77,47888376.0,11.84,101955
2017-06-15,11.34,11.58,11.21,11.5,56717099.0,11.383,106764
2017-06-16,11.71,11.83,11.28,11.44,51085779.0,11.513,97509
2017-06-19,11.63,12.12,11.62,11.93,57570137.0,11.886,114767
