date,open,high,low,close,volume,average,barCount
2017-02-13,41.58,42.15,41.43,41.83,60227040.0,41.89555,19476
2017-02-14,41.85,41.92,41.57,41.82,34972640.0,41.7717,12202
2017-02-15,41.7,42.14,41.64,42.14,41751560.0,41.99205,13872
2017-02-16,42.09,42.25,41.97,42.21,38390840.0,42.13,13396
2017-02-17,42.1,42.36,42.04,42.25,40955280.0,42.2563,12824
2017-02-21,42.44,42.9,42.36,42.82,46677840.0,42.7455,15626
2017-02-22,42.85,42.92,42.61,42.78,36038340.0,42.7764,12226
2017-02-23,42.88,43.04,42.4,42.61,48752260.0,42.6533,16846
2017-02-24,42.25,42.29,41.89,42.26,52753880.0,42.1162,17412
2017-02-27,42.11,42.63,41.98,42.43,37142720.0,42.3599,12622
2017-02-28,42.57,42.7,42.1,42.25,37353620.0,42.3853,12503
2017-03-01,42.65,42.74,42.45,42.65,35612260.0,42.617,12314
2017-03-02,42.65,42.74,42.36,42.45,29317160.0,42.5087,10333
2017-03-03,42.36,42.6,42.31,42.49,26009960.0,42.45965,9419
2017-03-06,42.26,42.42,42.06,42.33,34804940.0,42.2186,12166
2017-03-07,42.27,42.42,42.19,42.3,31052240.0,42.30865,10582
2017-03-08,42.4,42.65,42.34,42.52,30900720.0,42.53945,10780
2017-03-09,42.55,42.82,42.52,42.65,27059220.0,42.6736,9315
2017-03-10,42.84,42.87,42.59,42.62,31979540.0,42.695,11078
2017-03-13,42.59,42.78,42.59,42.73,25165760.0,42.7241,7967
2017-03-14,42.68,42.69,42.38,42.63,27937060.0,42.5177,9129
2017-03-15,42.72,42.72,42.36,42.65,35524840.0,42.539,11954
2017-03-16,42.77,42.78,42.53,42.67,25008920.0,42.65855,8831
2017-03-17,42.67,42.69,42.53,42.62,40205160.0,42.63725,9351
2017-03-20,42.58,42.89,42.55,42.85,32784780.0,42.79145,11287
2017-03-21,42.94,43.14,42.07,42.16,63274980.0,42.5554,22802
2017-03-22,42.02,42.47,41.95,42.4,37642440.0,42.2892,13163
2017-03-23,42.41,42.54,42.24,42.37,23421060.0,42.38805,8585
2017-03-24,42.58,42.59,42.18,42.28,29231980.0,42.40025,10437
2017-03-27,41.9,42.52,41.68,42.34,38831020.0,42.14745,13509
2017-03-28,42.55,42.92,42.51,42.8,39545000.0,42.7457,14000
2017-03-29,42.99,43.82,42.95,43.72,60995060.0,43.448,20619
2017-03-30,43.75,43.85,43.58,43.82,40106200.0,43.736,13721
2017-03-31,43.85,44.52,43.83,44.33,53985520.0,44.32695,17021
2017-04-03,44.4,44.67,44.27,44.58,48101520.0,44.49155,16523
2017-04-04,44.58,45.43,44.51,45.34,75237420.0,45.08135,24672
2017-04-05,45.54,46.19,45.28,45.46,111697280.0,45.8074,36819
2017-04-06,45.69,45.86,44.72,44.91,94448860.0,45.1064,31257
2017-04-07,44.98,45.0,44.47,44.74,55596160.0,44.75025,18553
2017-04-10,44.98,45.43,44.95,45.35,43646460.0,45.29815,14460
2017-04-11,45.35,45.56,44.88,45.12,43480620.0,45.1063,13892
2017-04-12,45.15,45.2,44.76,44.81,35486320.0,45.0024,11685
2017-04-13,44.57,44.75,44.22,44.23,45945580.0,44.46265,15577
2017-04-17,44.38,45.12,44.38,45.1,38440500.0,44.8115,13389
2017-04-18,45.05,45.48,45.04,45.19,40460040.0,45.2425,13685
2017-04-19,45.38,45.52,44.87,44.96,39816540.0,45.181,14166
2017-04-20,44.99,45.27,44.81,45.1,38590180.0,45.096,13449
2017-04-21,45.13,45.18,44.84,44.93,33784420.0,44.95615,11656
2017-04-24,45.43,45.5,45.19,45.37,43937460.0,45.3634,15179
2017-04-25,45.35,45.47,45.15,45.38,47244880.0,45.35795,16573
2017-04-26,45.52,45.79,45.38,45.46,36280760.0,45.55105,12333
2017-04-27,45.71,46.09,45.61,45.92,60662540.0,45.9099,21933
2017-04-28,47.46,47.48,46.22,46.25,104970160.0,46.78035,35451
2017-05-01,46.53,47.72,46.39,47.41,78189960.0,47.29825,26852
2017-05-02,47.34,47.51,47.07,47.35,53511260.0,47.22435,18814
2017-05-03,47.3,47.3,46.8,47.05,51312620.0,46.982,18118
2017-05-04,47.22,47.25,46.71,46.88,31770700.0,46.88055,11197
2017-05-05,47.03,47.04,46.52,46.71,37761540.0,46.65745,13180
2017-05-08,47.04,47.45,46.96,47.45,47589140.0,47.17935,15573
2017-05-09,47.64,47.89,47.51,47.64,41747680.0,47.69325,14049
2017-05-10,47.68,47.69,47.25,47.45,26313600.0,47.4358,9126
2017-05-11,47.26,47.51,47.04,47.38,27435620.0,47.27335,9464
2017-05-12,47.67,48.14,47.58,48.07,50121480.0,47.8927,17097
2017-05-15,47.94,48.16,47.8,47.9,60056180.0,47.93015,19170
2017-05-16,48.05,48.5,48.05,48.3,41931280.0,48.30065,13816
2017-05-17,47.71,48.02,47.21,47.24,67548040.0,47.66225,22767
2017-05-18,47.24,48.14,47.24,47.92,53261200.0,47.7926,18469
2017-05-19,48.15,48.45,47.99,47.99,52071340.0,48.2659,16775
2017-05-22,48.2,48.57,48.15,48.53,36175040.0,48.4374,12066
2017-05-23,48.75,48.76,48.34,48.58,33323020.0,48.54395,11150
2017-05-24,48.8,49.05,48.51,49.02,31591020.0,48.793,10729
2017-05-25,49.24,49.95,49.11,49.67,67080740.0,49.67115,20411
2017-05-26,49.75,49.93,49.46,49.79,50141740.0,49.7258,15260
2017-05-30,49.83,50.06,49.78,49.84,43114100.0,49.9114,14475
2017-05-31,50.0,50.01,49.11,49.73,50532940.0,49.6142,17005
2017-06-01,49.93,49.95,49.57,49.8,33254580.0,49.75915,11335
2017-06-02,49.95,50.42,49.78,50.34,52779180.0,50.1871,17786
2017-06-05,50.36,50.66,50.18,50.57,37181440.0,50.4887,10691
2017-06-06,50.59,50.83,50.06,50.15,45290020.0,50.5009,15058
