date,open,high,low,close,volume,average,barCount
2023-09-14,56.1,66.28,55.54,63.59,110613672.0,59.322,378586
2023-09-15,68.62,69.0,60.75,60.75,55702508.0,64.453,197920
2023-09-18,57.95,58.75,55.02,58.0,27064051.0,56.913,95834
2023-09-19,56.25,56.78,53.9,55.17,14069405.0,55.184,50761
2023-09-20,55.17,55.4,51.52,52.91,13998744.0,53.179,53837
2023-09-21,51.78,52.8,49.89,52.16,12251668.0,51.097,48476
2023-09-22,52.9,52.9,50.35,51.32,6808244.0,51.163,30422
2023-09-25,51.12,54.5,50.02,54.44,9129745.0,52.607,42801
2023-09-26,53.95,54.53,52.7,53.52,4932513.0,53.537,23816
2023-09-27,54.4,54.41,51.78,52.99,4813714.0,52.918,21543
2023-09-28,53.5,56.5,52.86,55.49,6641711.0,54.839,31515
2023-09-29,56.21,56.79,53.08,53.52,6405894.0,54.378,26652
2023-10-02,53.35,54.19,51.91,52.26,5069813.0,52.515,25170
2023-10-03,51.96,52.24,50.8,51.57,3588653.0,51.505,19379
2023-10-04,51.97,53.81,51.31,53.46,4922714.0,52.932,28023
2023-10-05,53.9,53.9,52.09,52.51,2172750.0,52.688,11788
2023-10-06,52.72,54.21,51.55,54.08,2780293.0,53.198,15271
2023-10-09,54.4,55.8,53.37,54.25,5739467.0,54.579,29352
2023-10-10,55.24,55.86,54.2,55.71,3524405.0,55.177,16583
2023-10-11,56.12,56.33,54.38,54.68,3528911.0,55.145,15575
2023-10-12,54.7,54.75,51.41,51.85,5536866.0,52.476,25776
2023-10-13,52.5,52.56,50.0,50.78,5038668.0,50.711,25990
2023-10-16,51.04,52.35,51.04,52.09,2538633.0,51.9,13543
2023-10-17,51.0,52.76,50.65,52.29,1806383.0,51.907,9270
2023-10-18,52.28,52.7,51.27,51.9,1692301.0,51.817,8933
2023-10-19,52.0,52.7,49.53,49.74,3519591.0,50.902,14588
2023-10-20,49.74,49.74,46.5,47.87,6165167.0,47.653,32406
2023-10-23,47.22,51.88,46.5,50.21,8184125.0,49.92,40809
2023-10-24,52.0,52.9,51.05,52.37,5559138.0,52.035,24586
2023-10-25,52.7,52.79,49.31,49.44,3621948.0,50.549,19385
2023-10-26,50.06,51.11,49.5,50.17,2768254.0,50.081,15965
2023-10-27,51.26,51.33,48.81,49.09,2078238.0,49.613,9973
2023-10-30,49.51,49.9,47.28,47.9,2924245.0,48.043,14224
2023-10-31,47.9,49.66,47.12,49.29,2631870.0,48.763,14591
2023-11-01,49.61,50.52,48.3,50.52,2434201.0,49.765,15018
2023-11-02,51.4,53.56,51.3,52.82,3621171.0,52.57,21207
2023-11-03,52.82,53.86,52.25,53.49,1797706.0,53.198,9754
2023-11-06,53.98,54.46,52.52,53.1,1725249.0,53.134,8143
2023-11-07,53.45,56.1,53.26,55.27,3471429.0,54.96,19100
2023-11-08,55.27,55.56,53.39,54.4,3554197.0,54.234,18594
2023-11-09,50.98,52.05,49.82,51.58,11768995.0,50.947,52691
2023-11-10,52.0,52.5,51.01,52.27,4238547.0,51.824,20398
2023-11-13,52.2,52.5,50.57,51.69,3450456.0,51.358,18180
