date,open,high,low,close,volume,average,barCount
2017-02-13,20.68,20.71,20.52,20.67,8594570.0,20.6009,5615
2017-02-14,20.69,20.7,20.48,20.53,10531490.0,20.5734,7814
2017-02-15,20.58,20.69,20.48,20.6,12564930.0,20.5479,9673
2017-02-16,20.65,20.82,20.52,20.82,12222790.0,20.6758,8932
2017-02-17,20.9,21.04,20.68,21.04,22742440.0,20.9184,13919
2017-02-21,21.1,21.36,21.09,21.28,23105120.0,21.2279,15312
2017-02-22,21.3,21.49,21.15,21.42,16950640.0,21.3336,11150
2017-02-23,21.51,21.6,20.96,21.06,22294370.0,21.1108,15352
2017-02-24,20.83,21.07,20.26,21.04,20255570.0,20.8401,13736
2017-02-27,21.08,21.35,21.02,21.33,19893620.0,21.2149,14508
2017-02-28,21.41,21.43,21.03,21.09,18368140.0,21.1354,13137
2017-03-01,21.31,21.54,21.06,21.51,38180740.0,21.3232,25507
2017-03-02,22.41,22.5,21.6,21.73,61286630.0,21.9266,36773
2017-03-03,21.8,22.0,21.77,21.83,25297740.0,21.8701,17827
2017-03-06,21.64,21.85,21.52,21.79,16907450.0,21.6928,11995
2017-03-07,21.73,22.14,21.71,21.93,23678280.0,21.9621,16485
2017-03-08,21.92,22.12,21.86,21.96,18767340.0,21.9703,13880
2017-03-09,21.88,22.29,21.81,22.2,19884950.0,22.1243,13058
2017-03-10,22.32,22.64,22.27,22.64,33046470.0,22.5102,18093
2017-03-13,22.59,22.78,22.54,22.65,19682220.0,22.6254,12174
2017-03-14,22.48,22.63,22.35,22.43,17576660.0,22.4478,11665
2017-03-15,22.43,22.67,22.32,22.59,15064970.0,22.4739,10057
2017-03-16,22.55,22.58,22.16,22.24,21427260.0,22.2828,15018
2017-03-17,22.35,22.37,22.09,22.12,27654890.0,22.2436,15185
2017-03-20,22.12,22.26,22.08,22.12,12695970.0,22.1627,8668
2017-03-21,22.22,22.3,21.55,21.6,23399630.0,21.7584,16785
2017-03-22,21.6,21.84,21.54,21.74,13226250.0,21.7208,9706
2017-03-23,21.73,21.85,21.64,21.69,12833730.0,21.7265,8709
2017-03-24,21.8,22.14,21.77,21.9,16925010.0,21.998,12978
2017-03-27,21.68,22.02,21.6,21.91,10791670.0,21.8348,8120
2017-03-28,21.92,22.18,21.84,22.1,13230540.0,22.0565,9246
2017-03-29,22.08,22.14,21.97,22.13,11722440.0,22.0721,8420
2017-03-30,22.19,22.45,21.89,22.0,28140660.0,22.1536,17583
2017-03-31,22.0,22.1,21.8,21.9,18630920.0,21.9278,13085
2017-04-03,21.9,22.0,21.67,21.88,14480160.0,21.8303,9910
2017-04-04,21.82,22.04,21.79,21.9,9317630.0,21.8819,6634
2017-04-05,21.95,22.05,21.68,21.71,11300900.0,21.8931,7903
2017-04-06,21.67,21.85,21.56,21.75,10769240.0,21.7124,7924
2017-04-07,21.75,21.98,21.7,21.83,12424240.0,21.8659,8474
2017-04-10,21.71,21.91,21.63,21.8,12578520.0,21.7759,8833
2017-04-11,21.66,21.84,21.4,21.76,17152330.0,21.637,12391
2017-04-12,21.57,21.61,20.84,20.92,50196330.0,21.055,28937
2017-04-13,20.92,21.4,20.9,21.13,35806160.0,21.2533,24048
2017-04-17,21.24,21.44,21.22,21.39,9186290.0,21.3637,6555
2017-04-18,21.31,21.37,21.21,21.31,5830360.0,21.287,4492
2017-04-19,21.38,21.48,21.33,21.36,8003390.0,21.3992,6253
2017-04-20,21.5,21.91,21.42,21.82,12725560.0,21.7392,8839
2017-04-21,21.74,21.83,21.62,21.77,10297030.0,21.7476,7320
2017-04-24,22.07,22.19,21.97,22.12,12454600.0,22.0906,8326
2017-04-25,22.2,22.4,22.2,22.32,10602550.0,22.3143,7529
2017-04-26,22.35,22.39,22.09,22.17,10452640.0,22.2022,8080
2017-04-27,22.29,22.41,22.21,22.31,8610670.0,22.2885,6252
2017-04-28,22.28,22.31,21.98,22.08,10287230.0,22.0816,7261
2017-05-01,22.21,22.23,21.99,22.13,10483420.0,22.1313,7851
2017-05-02,22.35,22.55,22.15,22.54,19924350.0,22.3964,13097
2017-05-03,22.45,22.62,22.35,22.49,13503920.0,22.4964,8839
2017-05-04,22.53,22.59,22.19,22.34,12655500.0,22.3303,8933
2017-05-05,22.5,22.65,22.4,22.65,18652760.0,22.5393,11760
2017-05-08,22.65,22.7,22.39,22.51,13077150.0,22.528,8985
2017-05-09,22.56,22.94,22.47,22.85,14124230.0,22.7277,9865
2017-05-10,22.95,23.34,22.87,23.13,18189040.0,23.1509,12967
2017-05-11,23.07,23.18,22.82,23.11,10432970.0,23.0346,7387
2017-05-12,23.15,23.61,23.08,23.6,19508290.0,23.4422,13756
2017-05-15,23.56,23.99,23.5,23.9,23084210.0,23.8313,10747
2017-05-16,23.99,24.13,23.87,24.07,13267430.0,24.0158,9575
2017-05-17,23.8,23.9,23.11,23.12,22285810.0,23.4409,16161
2017-05-18,23.16,23.86,22.77,23.77,23587780.0,23.5469,16796
2017-05-19,23.67,23.7,23.21,23.41,27170640.0,23.4235,18173
2017-05-22,23.55,23.87,23.42,23.84,14700660.0,23.6936,9979
2017-05-23,23.84,23.89,23.58,23.65,9910690.0,23.7157,6889
2017-05-24,23.85,24.0,23.7,23.96,11748590.0,23.8714,8530
2017-05-25,24.1,24.16,23.87,24.09,13509750.0,24.0346,10101
2017-05-26,24.09,24.16,23.83,24.12,9101340.0,24.0276,6215
2017-05-30,24.05,24.14,23.9,23.98,22726760.0,24.0121,15424
2017-05-31,24.24,24.29,23.76,23.95,32223390.0,23.9093,22699
2017-06-01,24.16,24.19,23.38,23.46,45581130.0,23.6216,30582
2017-06-02,24.9,25.58,24.42,25.45,90670050.0,25.1464,54813
2017-06-05,25.4,25.68,25.02,25.22,30677640.0,25.3226,19849
2017-06-06,25.08,25.53,25.06,25.39,23427000.0,25.3611,14850
2017-06-07,25.37,25.59,25.3,25.43,20001430.0,25.4459,11809
2017-06-08,25.5,25.61,25.23,25.5,20700750.0,25.4039,14158
2017-06-09,25.55,25.6,24.15,24.33,45153630.0,24.7571,31008
2017-06-12,24.06,24.31,23.58,24.27,39192160.0,23.9898,27413
2017-06-13,24.5,24.79,24.17,24.29,19522970.0,24.3724,14001
2017-06-14,24.36,24.5,23.76,24.05,23667450.0,24.1735,17183
2017-06-15,23.53,23.95,23.53,23.8,21710580.0,23.7722,15191
2017-06-16,23.9,23.94,23.51,23.63,24945170.0,23.7388,14008
2017-06-19,24.5,24.54,24.04,24.12,21654800.0,24.1537,14119
2017-06-20,24.2,24.37,23.98,24.0,18474950.0,24.1607,12747
2017-06-21,24.34,24.59,24.19,24.51,28086170.0,24.4622,16845
2017-06-22,24.55,24.64,24.31,24.4,13059900.0,24.4619,9708
2017-06-23,24.35,24.69,24.28,24.53,18630620.0,24.551,12302
2017-06-26,24.6,24.79,24.12,24.28,24726960.0,24.3173,14367
2017-06-27,24.14,24.2,23.52,23.53,23734610.0,23.8368,16702
2017-06-28,23.66,24.17,23.45,24.11,17824430.0,23.9405,12678
2017-06-29,23.87,23.9,23.06,23.4,25730760.0,23.4273,17768
2017-06-30,23.63,23.67,23.29,23.31,18861420.0,23.4094,12367
2017-07-03,23.45,23.52,22.91,22.98,15199590.0,23.0803,10338
2017-07-05,23.1,23.23,22.91,23.16,21156900.0,23.1017,14018
2017-07-06,22.78,23.57,22.75,23.5,18480110.0,23.3615,12670
2017-07-07,23.53,24.02,23.53,23.96,16121860.0,23.8712,11841
2017-07-10,24.05,24.19,23.88,24.18,16357300.0,24.0601,11854
2017-07-11,24.2,24.26,23.94,24.09,14339720.0,24.0753,10695
2017-07-12,24.3,24.72,24.11,24.64,17582590.0,24.4132,12395
2017-07-13,24.71,24.99,24.66,24.73,14206600.0,24.8228,10253
2017-07-14,24.86,25.04,24.79,25.03,9766060.0,24.9282,6862
2017-07-17,25.08,25.24,24.89,24.9,12661160.0,25.032,8856
2017-07-18,24.73,25.09,24.61,25.09,8248110.0,24.8968,6007
2017-07-19,25.18,25.45,25.06,25.44,18677110.0,25.2593,11268
2017-07-20,25.45,25.5,25.24,25.34,8275820.0,25.3756,5995
2017-07-21,25.18,25.35,25.05,25.31,9855690.0,25.2431,6232
2017-07-24,25.33,25.37,25.17,25.3,8088900.0,25.2959,5834
2017-07-25,25.28,25.44,25.02,25.43,10947930.0,25.2916,7372
2017-07-26,25.47,25.82,25.46,25.7,12960110.0,25.6948,8233
2017-07-27,25.82,25.85,24.9,25.1,23207710.0,25.2828,15858
2017-07-28,24.89,25.11,24.75,25.04,20739990.0,24.9213,13928
2017-07-31,25.1,25.25,24.55,24.67,12581960.0,24.7775,9108
2017-08-01,24.82,25.0,24.7,24.84,13160660.0,24.8301,7999
2017-08-02,25.46,25.73,25.11,25.34,28337600.0,25.3757,18288
2017-08-03,25.28,25.3,24.72,25.03,17581270.0,24.9457,11021
2017-08-04,25.05,25.1,24.81,24.92,9828200.0,24.9591,6725
2017-08-07,24.94,25.29,24.89,25.24,11292690.0,25.1662,7247
2017-08-08,25.2,25.43,25.04,25.14,14710220.0,25.252,9914
2017-08-09,24.95,25.04,24.75,24.92,15895310.0,24.8732,10120
2017-08-10,24.67,24.7,24.05,24.07,20051950.0,24.3083,13106
2017-08-11,24.03,24.52,23.87,24.42,12507310.0,24.3004,8714
2017-08-14,24.69,25.13,24.6,25.09,11457140.0,24.9742,8253
2017-08-15,25.22,25.41,25.13,25.37,12491540.0,25.3022,9054
2017-08-16,25.43,25.47,25.18,25.34,10249410.0,25.3152,7776
2017-08-17,25.3,25.43,24.67,24.7,16802440.0,24.9972,12617
2017-08-18,24.73,25.15,24.61,24.94,14558180.0,24.9451,10242
2017-08-21,25.19,25.19,24.62,24.96,13274540.0,24.8748,9845
2017-08-22,25.18,25.62,25.1,25.52,20700370.0,25.417,14604
2017-08-23,25.39,25.89,25.34,25.69,19214250.0,25.6788,13258
2017-08-24,25.87,25.94,25.11,25.51,40154340.0,25.4311,22091
2017-08-25,25.26,25.44,24.38,24.56,53552880.0,24.7086,36081
2017-08-28,24.71,24.76,24.25,24.33,24391030.0,24.4406,15597
2017-08-29,24.13,24.46,24.0,24.17,26078720.0,24.2299,17151
2017-08-30,24.16,24.63,24.09,24.6,15641250.0,24.4112,10956
2017-08-31,24.66,25.25,24.56,25.21,20562940.0,24.9941,14535
2017-09-01,25.23,25.53,25.23,25.27,17578840.0,25.3938,11639
2017-09-05,25.01,25.27,24.7,24.91,18041850.0,24.9585,12754
2017-09-06,25.06,25.13,24.77,24.94,9675350.0,24.9647,7404
2017-09-07,24.98,25.0,24.61,24.66,11111240.0,24.8053,7933
2017-09-08,24.61,24.64,24.31,24.41,12623060.0,24.4432,9601
2017-09-11,24.7,24.82,24.6,24.77,11014450.0,24.7525,8076
2017-09-12,24.94,24.97,24.55,24.71,13338290.0,24.7421,9421
2017-09-13,24.58,24.79,24.52,24.62,15061990.0,24.6384,8801
2017-09-14,24.46,24.75,24.32,24.7,19676670.0,24.6148,14488
2017-09-15,24.73,25.12,24.51,25.06,29829780.0,24.8927,17334
2017-09-18,25.12,25.28,24.86,24.98,18240670.0,25.0481,11344
2017-09-19,25.12,25.18,24.83,24.98,15277130.0,25.002,10355
2017-09-20,24.97,24.99,23.79,24.29,43108890.0,24.2143,25482
2017-09-21,24.2,24.27,23.82,24.04,20639040.0,24.0247,13201
2017-09-22,23.83,24.08,23.81,23.92,17721960.0,23.9338,12006
2017-09-25,23.77,23.78,23.15,23.55,28209020.0,23.4525,19129
2017-09-26,23.77,24.0,23.53,23.73,23649780.0,23.7113,15527
2017-09-27,23.93,24.27,23.86,24.06,19310330.0,24.0753,11720
2017-09-28,23.95,24.34,23.95,24.29,11292120.0,24.2245,7590
2017-09-29,24.29,24.43,24.15,24.25,11173940.0,24.2762,7524
2017-10-02,24.53,24.53,23.98,24.05,13657770.0,24.1408,10187
2017-10-03,24.01,24.1,23.79,23.95,20284520.0,23.9295,13083
2017-10-04,23.88,24.23,23.75,24.2,17528000.0,24.048,12045
2017-10-05,24.33,24.57,24.24,24.37,17037910.0,24.3938,11213
2017-10-06,24.03,24.58,24.03,24.57,13071690.0,24.4487,8219
2017-10-09,24.6,24.73,24.54,24.64,11810340.0,24.6222,6371
2017-10-10,24.75,24.82,24.3,24.6,10958650.0,24.5562,7665
2017-10-11,24.52,25.12,24.51,25.04,19720560.0,24.9154,11329
2017-10-12,25.04,25.13,24.83,24.87,15832640.0,25.0226,9837
2017-10-13,25.02,25.08,24.75,24.8,10722360.0,24.8947,8102
2017-10-16,24.86,24.95,24.56,24.67,11148540.0,24.6794,8065
2017-10-17,24.58,24.59,24.23,24.26,20814340.0,24.3502,15194
2017-10-18,24.33,24.46,23.98,24.4,15103340.0,24.2322,9705
2017-10-19,24.08,24.44,23.84,24.43,19278370.0,24.1932,13703
2017-10-20,24.7,24.7,24.38,24.42,15955940.0,24.5384,10427
2017-10-23,24.52,24.57,24.27,24.43,18720920.0,24.4285,10372
2017-10-24,24.51,24.81,24.41,24.77,17285140.0,24.6538,11456
2017-10-25,24.57,24.89,24.42,24.58,15360080.0,24.6293,10120
2017-10-26,24.65,24.79,24.38,24.38,18958260.0,24.4809,11274
2017-10-27,24.43,25.3,24.28,25.29,30761900.0,24.8934,19563
2017-10-30,25.33,26.22,25.33,26.12,38341440.0,26.0073,25853
2017-10-31,26.22,26.67,26.13,26.39,22818560.0,26.422,14758
2017-11-01,26.42,26.56,25.69,25.93,19753450.0,26.1072,14578
2017-11-02,26.22,26.46,24.89,25.95,54236590.0,25.711,33650
2017-11-03,26.4,27.8,25.71,27.36,103159130.0,26.8485,62340
2017-11-06,27.83,28.18,27.0,27.75,59373590.0,27.616,35782
2017-11-07,27.25,27.45,26.75,27.13,29204550.0,27.0887,19522
2017-11-08,26.93,27.38,26.72,27.24,21294650.0,27.1798,14292
2017-11-09,26.86,27.04,26.25,26.56,21445820.0,26.5764,15628
2017-11-10,26.58,26.66,26.36,26.5,14925400.0,26.5014,10043
2017-11-13,26.25,26.6,26.16,26.5,20304240.0,26.4035,12668
2017-11-14,26.33,26.56,26.13,26.33,13905060.0,26.3292,9950
2017-11-15,26.2,26.7,25.8,26.56,20949770.0,26.3278,14953
2017-11-16,26.68,27.46,26.61,27.21,21740060.0,27.1765,14737
2017-11-17,27.18,27.21,26.84,27.19,17917870.0,27.0736,9767
2017-11-20,27.26,27.68,27.14,27.49,16639750.0,27.3996,11349
2017-11-21,27.61,27.82,27.49,27.66,13289700.0,27.6948,9093
2017-11-22,27.7,27.77,27.42,27.54,12362390.0,27.5781,8091
2017-11-24,27.67,28.3,27.65,28.24,8531850.0,27.9821,5170
2017-11-27,28.03,28.57,27.98,28.46,18941450.0,28.3779,12917
2017-11-28,28.49,28.49,27.68,27.74,19237670.0,28.0132,12712
2017-11-29,27.8,27.81,26.49,27.15,35198780.0,26.9628,23120
2017-11-30,27.18,27.84,27.01,27.79,19741660.0,27.5588,14320
2017-12-01,27.52,27.55,26.41,27.16,35837570.0,26.8706,22279
2017-12-04,27.38,27.45,26.01,26.36,35053630.0,26.6159,23685
2017-12-05,26.27,26.61,26.04,26.17,26408520.0,26.3526,18782
2017-12-06,25.89,26.44,25.42,26.39,32851890.0,26.0139,22051
2017-12-07,27.49,27.57,26.17,26.39,61858410.0,26.7431,39553
2017-12-08,26.58,26.69,25.93,25.99,31773860.0,26.2811,21192
2017-12-11,25.93,26.36,25.88,26.0,23149660.0,26.0523,15449
2017-12-12,25.94,26.09,25.57,25.87,20285700.0,25.8866,15101
2017-12-13,26.04,26.33,26.02,26.2,16970340.0,26.2128,12596
2017-12-14,26.23,26.3,25.67,25.93,24910580.0,25.909,17852
2017-12-15,26.05,26.6,25.83,26.57,26619400.0,26.2779,14475
2017-12-18,26.41,26.65,26.26,26.44,19763410.0,26.4778,14255
2017-12-19,26.33,26.53,26.13,26.37,12946830.0,26.3168,8965
2017-12-20,26.61,26.64,26.28,26.56,14224250.0,26.4787,9720
2017-12-21,26.6,26.63,26.11,26.15,11763640.0,26.3553,8365
2017-12-22,26.18,26.34,25.87,26.24,9781200.0,26.1858,6967
2017-12-26,25.72,25.84,25.34,25.81,16127060.0,25.667,10231
2017-12-27,25.92,26.16,25.85,25.91,9632420.0,25.9698,7082
2017-12-28,26.02,26.08,25.86,26.04,9445450.0,25.963,6279
2017-12-29,25.98,26.2,25.69,25.69,11040980.0,25.8339,7567
2018-01-02,25.98,26.75,25.76,26.7,19894710.0,26.4608,13988
2018-01-03,26.73,27.04,26.6,26.99,21770650.0,26.8614,15077
2018-01-04,27.16,27.18,26.84,27.0,13456530.0,27.0137,8242
2018-01-05,27.2,27.43,26.95,27.16,21722550.0,27.2097,11787
2018-01-08,27.09,27.26,26.91,27.23,14401290.0,27.1783,8260
2018-01-09,27.31,27.39,26.82,26.85,18204680.0,26.9651,11761
2018-01-10,26.6,26.61,26.07,26.28,22796280.0,26.2701,15162
2018-01-11,26.33,26.39,26.16,26.35,12138060.0,26.2841,8078
2018-01-12,26.34,26.53,26.2,26.43,13624450.0,26.3574,9660
2018-01-16,26.52,26.7,26.17,26.33,23077940.0,26.4041,15462
2018-01-17,26.55,26.65,26.05,26.58,26894100.0,26.4131,17372
2018-01-18,26.55,27.0,26.45,26.98,21140660.0,26.7711,13291
2018-01-19,26.88,26.94,26.61,26.64,19020310.0,26.7778,12988
2018-01-22,26.57,26.68,26.06,26.21,19126230.0,26.2737,12464
2018-01-23,26.17,26.44,25.81,26.29,25912660.0,26.1791,16975
2018-01-24,26.1,26.33,25.6,25.69,32547250.0,25.8999,21079
2018-01-25,25.77,25.78,24.7,24.73,47182780.0,25.0333,26734
2018-01-26,24.94,25.09,24.52,25.08,37604050.0,24.8347,21967
2018-01-29,24.83,24.95,24.35,24.55,39594980.0,24.5472,27539
2018-01-30,24.13,24.5,23.7,24.1,35096320.0,24.218,23662
2018-01-31,24.98,25.31,24.49,24.8,59897480.0,24.9028,32688
2018-02-01,24.17,24.59,23.81,23.88,53824980.0,24.0813,29628
2018-02-02,23.68,23.8,23.41,23.55,39728010.0,23.6541,21199
2018-02-05,23.46,24.4,22.76,22.81,52685310.0,23.7616,31834
2018-02-06,22.56,24.04,22.49,24.04,57949920.0,23.4146,36473
2018-02-07,23.88,24.31,23.7,23.74,29563480.0,24.0326,21018
2018-02-08,23.74,23.85,22.95,22.96,29479580.0,23.3462,22190
2018-02-09,23.28,23.7,22.63,23.55,31212360.0,23.1545,24762
2018-02-12,23.79,24.55,23.75,24.44,25118390.0,24.2057,19601
2018-02-13,24.1,24.6,24.01,24.59,17632970.0,24.3779,14361
2018-02-14,24.5,24.87,24.35,24.77,18308730.0,24.6607,14403
2018-02-15,24.93,25.18,24.44,25.18,18986790.0,24.903,13281
2018-02-16,25.13,25.24,24.8,24.89,23475430.0,25.0234,16690
2018-02-20,24.87,25.57,24.75,24.96,31354370.0,25.2172,21185
2018-02-21,25.25,25.35,24.84,24.86,20031740.0,25.0664,15705
2018-02-22,24.91,25.31,24.89,24.93,13312370.0,25.0937,9992
2018-02-23,25.21,25.5,25.03,25.37,11810730.0,25.3234,8929
2018-02-26,25.2,25.44,25.1,25.29,20051390.0,25.2677,14416
2018-02-27,25.21,25.57,25.17,25.18,14336990.0,25.3319,10808
2018-02-28,25.41,25.45,24.61,24.65,18609430.0,24.8505,13597
2018-03-01,24.59,24.91,24.13,24.33,17601650.0,24.4684,14513
2018-03-02,24.04,25.12,24.02,25.09,19168060.0,24.7259,14385
2018-03-05,24.99,25.13,24.34,24.7,17775250.0,24.7985,12992
2018-03-06,24.93,25.13,24.73,25.1,19999740.0,24.9225,12078
2018-03-07,24.87,24.94,24.43,24.71,23441650.0,24.6852,17450
2018-03-08,24.8,24.83,24.59,24.7,23220200.0,24.6825,16299
2018-03-09,24.86,25.43,24.76,25.38,19769750.0,25.1821,12079
2018-03-12,26.07,26.43,25.96,26.28,38949430.0,26.2135,25445
2018-03-13,26.64,27.39,26.05,26.12,51177470.0,26.722,34415
2018-03-14,26.2,26.23,25.52,26.06,28828890.0,25.9049,19779
2018-03-15,26.39,26.89,26.35,26.78,41262440.0,26.6917,27883
2018-03-16,26.34,26.36,25.44,25.49,81158700.0,25.7807,50705
2018-03-19,25.35,25.65,24.28,24.5,55727270.0,24.6966,36988
2018-03-20,24.51,24.81,24.13,24.24,49540960.0,24.3813,30899
2018-03-21,24.06,25.06,24.01,24.6,40952880.0,24.5308,25805
2018-03-22,24.2,24.67,24.15,24.36,32007360.0,24.4262,23004
2018-03-23,24.34,24.52,24.04,24.25,45087730.0,24.2544,30285
2018-03-26,24.78,24.88,24.05,24.77,33253180.0,24.3748,23162
2018-03-27,24.81,25.43,24.16,24.44,48933010.0,24.8931,31500
2018-03-28,24.41,24.69,23.56,23.67,29556980.0,23.9895,22841
2018-03-29,23.81,24.08,23.48,23.57,30332710.0,23.6681,21238
2018-04-02,23.36,23.61,22.54,22.77,37239310.0,22.9089,26459
2018-04-03,23.09,23.7,22.72,23.68,32660970.0,23.3023,22654
2018-04-04,23.01,23.79,22.95,23.68,26981410.0,23.3976,18668
2018-04-06,23.37,23.65,22.78,22.89,19221480.0,23.1835,12959
2018-04-09,23.0,23.97,22.93,23.47,27641840.0,23.6532,17818
2018-04-10,23.96,24.16,23.77,23.98,23469600.0,23.9672,16189
2018-04-11,23.81,24.07,23.71,24.03,13542860.0,23.9397,9904
2018-04-12,24.14,24.26,23.71,23.94,24382460.0,23.9464,16031
2018-04-13,24.99,25.2,24.49,24.69,34256640.0,24.8112,24285
2018-04-16,24.91,24.99,24.57,24.94,18460680.0,24.8211,13532
2018-04-17,25.08,25.29,24.96,25.17,16320510.0,25.1846,12378
2018-04-18,25.09,25.17,24.75,24.96,14784060.0,24.9389,11152
2018-04-19,24.35,24.63,24.07,24.29,36545800.0,24.2622,23629
2018-04-20,24.15,24.16,23.5,23.71,29580300.0,23.7894,16796
2018-04-23,23.8,23.83,23.21,23.35,20851070.0,23.4722,13979
2018-04-24,23.57,23.61,22.68,22.84,32572350.0,23.0426,19895
2018-04-25,22.9,23.11,22.59,22.9,21538060.0,22.8445,14196
2018-04-26,23.1,23.19,22.83,23.04,23610010.0,22.9489,15589
2018-04-27,23.36,23.42,23.07,23.28,18926180.0,23.2784,13268
2018-04-30,23.26,23.41,22.83,22.94,29317670.0,23.1166,17533
2018-05-01,23.02,23.09,22.64,23.04,34211520.0,22.8563,20823
2018-05-02,23.33,23.34,22.68,22.87,41280830.0,22.9172,21231
2018-05-03,22.65,22.79,22.27,22.53,42327330.0,22.5182,27381
2018-05-04,22.37,23.21,22.2,23.05,37971280.0,22.7417,26234
2018-05-07,23.13,23.68,23.1,23.6,27404810.0,23.541,18492
2018-05-08,23.57,23.9,23.48,23.89,22346620.0,23.7475,17189
2018-05-09,23.58,23.91,23.4,23.81,24325490.0,23.6629,16985
2018-05-10,23.96,24.37,23.86,24.35,16806840.0,24.2035,11721
2018-05-11,24.31,24.45,24.16,24.34,14620040.0,24.3038,10158
2018-05-14,24.63,24.84,24.38,24.48,20025830.0,24.5918,15199
2018-05-15,24.25,24.44,23.85,24.16,14863470.0,24.1528,10762
2018-05-16,24.21,24.22,23.9,24.05,18358500.0,24.0105,11818
2018-05-17,23.81,24.17,23.8,23.95,16089460.0,24.0076,10300
2018-05-18,23.99,24.06,23.59,23.6,17866050.0,23.7625,12661
