date,open,high,low,close,volume,average,barCount
2017-02-13,166.45,169.07,166.35,168.03,2842020.0,168.172,19296
2017-02-14,167.55,168.8,167.22,168.5,1892858.0,168.257,12665
2017-02-15,168.42,169.95,168.35,169.3,2665224.0,169.385,15292
2017-02-16,169.64,170.81,168.75,170.81,2541064.0,169.813,15167
2017-02-17,170.41,173.25,170.4,172.71,3339180.0,172.294,18807
2017-02-21,173.92,176.17,173.68,175.56,3104209.0,175.427,18556
2017-02-22,174.98,175.75,174.01,175.36,2240831.0,175.205,13985
2017-02-23,175.97,177.0,175.7,176.86,2311610.0,176.422,14631
2017-02-24,176.48,178.8,176.1,177.44,3432595.0,177.577,20344
2017-02-27,178.0,179.89,177.55,179.43,2126150.0,179.051,13465
2017-02-28,180.38,181.93,179.67,180.23,3716612.0,180.657,22076
2017-03-01,181.77,184.8,181.77,183.91,3342262.0,183.478,20826
2017-03-02,184.0,185.71,182.97,182.99,4002314.0,184.376,22150
2017-03-03,183.04,183.58,181.45,182.18,3278158.0,182.197,19619
2017-03-06,181.4,182.3,180.43,180.93,3495041.0,181.001,20842
2017-03-07,180.64,182.84,180.62,182.02,1718250.0,181.95,11708
2017-03-08,182.45,182.7,181.49,181.74,1651008.0,181.975,10516
2017-03-09,181.43,182.59,179.58,180.57,2390711.0,181.034,16327
2017-03-10,181.9,181.97,177.92,178.7,3698637.0,178.957,24724
2017-03-13,177.16,179.19,177.07,179.05,2374235.0,178.298,15614
2017-03-14,178.54,179.69,177.71,178.73,1712930.0,178.854,12108
2017-03-15,179.0,179.24,177.97,178.71,2737478.0,178.67,16595
2017-03-16,179.82,180.0,177.64,178.19,2467973.0,178.52,15948
2017-03-17,178.31,180.39,178.17,180.1,3215867.0,179.068,10971
2017-03-20,180.1,180.15,179.14,179.39,1259859.0,179.672,9190
2017-03-21,179.99,180.25,175.5,175.96,2398671.0,176.731,16387
2017-03-22,175.96,177.1,175.93,176.98,1929483.0,176.502,13629
2017-03-23,177.34,177.85,176.59,177.26,1176189.0,177.315,8727
2017-03-24,176.85,177.53,174.76,175.82,1724191.0,176.232,11337
2017-03-27,174.37,176.44,173.75,176.1,1568262.0,175.467,11034
2017-03-28,176.29,177.69,175.0,177.36,1507539.0,177.043,9549
2017-03-29,177.47,177.99,176.97,177.63,1247865.0,177.53,8440
2017-03-30,177.46,178.49,177.22,177.98,1109466.0,178.024,7412
2017-03-31,178.02,178.18,176.81,176.86,1327457.0,177.305,9251
2017-04-03,177.08,177.73,175.5,176.65,2200323.0,176.337,15480
2017-04-04,176.88,178.79,176.76,178.7,1736945.0,178.158,12417
2017-04-05,179.0,180.18,176.89,177.08,1776266.0,178.843,13086
2017-04-06,177.56,178.22,177.12,177.37,1756571.0,177.661,13263
2017-04-07,178.39,179.09,177.26,178.85,2000981.0,178.374,14214
2017-04-10,179.0,179.97,177.48,177.56,1722859.0,178.543,12691
2017-04-11,177.5,178.6,176.96,178.57,1670636.0,177.899,12266
2017-04-12,178.25,178.25,175.94,176.05,2304249.0,176.634,17234
2017-04-13,175.74,176.88,175.56,175.62,1473059.0,176.138,11473
2017-04-17,175.84,179.08,175.84,179.02,1633615.0,178.168,11639
2017-04-18,178.59,179.97,177.12,177.85,2025248.0,178.182,14702
2017-04-19,178.4,179.9,178.16,178.4,1537538.0,178.99,11467
2017-04-20,178.74,179.82,178.34,179.3,1760336.0,179.383,13029
2017-04-21,179.42,180.93,179.42,180.38,2540544.0,180.301,15554
2017-04-24,181.75,182.46,181.61,182.06,2380241.0,182.118,14889
2017-04-25,182.53,183.85,182.53,183.51,3104359.0,183.357,18974
2017-04-26,182.31,183.0,180.11,181.71,3573119.0,181.412,24698
2017-04-27,182.67,183.76,182.59,183.22,2250676.0,183.291,16320
2017-04-28,183.42,184.93,183.02,184.83,1443243.0,184.243,10933
2017-05-01,184.25,184.49,181.8,182.39,2869320.0,182.726,17191
2017-05-02,182.66,183.91,182.53,183.44,1460685.0,183.369,8912
2017-05-03,183.45,183.75,182.25,183.39,2212434.0,183.227,13887
2017-05-04,183.33,184.25,182.18,183.07,1792859.0,183.219,10765
2017-05-05,183.16,185.07,183.16,185.01,1912537.0,184.385,11374
2017-05-08,185.38,186.39,185.0,186.02,1469765.0,185.77,8942
2017-05-09,186.11,187.21,186.05,186.91,1842390.0,186.827,12676
2017-05-10,185.14,185.65,178.18,183.18,5791135.0,182.944,34171
2017-05-11,182.9,184.33,182.17,183.94,2285298.0,183.721,16116
2017-05-12,183.71,183.98,182.63,183.25,2177799.0,183.083,13669
2017-05-15,183.53,184.11,182.28,182.39,2269430.0,183.01,14405
2017-05-16,182.73,183.15,182.04,182.7,1783717.0,182.822,11912
2017-05-17,181.4,181.52,178.68,178.78,1854237.0,179.688,11956
2017-05-18,178.48,178.5,175.47,177.4,2494418.0,177.449,16452
2017-05-19,177.73,181.42,176.77,180.76,3018518.0,179.568,17579
2017-05-22,183.78,185.32,182.52,183.67,2072717.0,183.721,13809
2017-05-23,184.0,184.46,182.86,183.49,1545942.0,183.621,10865
2017-05-24,183.46,185.4,183.46,185.25,1908853.0,184.543,11611
2017-05-25,185.7,187.42,185.59,187.07,1794392.0,186.73,12376
2017-05-26,186.73,187.61,186.27,186.59,1335977.0,186.869,9397
2017-05-30,186.76,187.42,186.19,186.88,1705983.0,186.645,10456
2017-05-31,187.37,188.26,186.72,187.63,2076439.0,187.755,13978
2017-06-01,187.41,187.91,184.53,187.32,2186636.0,186.789,14458
2017-06-02,187.82,191.7,187.64,190.23,2329184.0,190.212,15219
2017-06-05,190.13,190.74,188.81,188.95,1852008.0,189.66,11747
2017-06-06,188.44,188.86,186.68,186.75,2033693.0,187.696,13142
2017-06-07,186.85,188.54,186.39,188.1,1683548.0,187.712,12049
2017-06-08,188.1,191.07,187.7,189.93,1703080.0,189.831,11945
2017-06-09,190.0,190.99,189.25,190.03,1795829.0,190.117,11634
2017-06-12,190.3,190.53,188.05,190.0,1544317.0,189.385,9649
2017-06-13,190.05,191.56,189.35,191.09,1365604.0,190.978,8473
2017-06-14,191.05,193.38,190.81,192.38,1559327.0,192.329,9925
2017-06-15,191.43,195.55,191.37,195.45,2196515.0,194.457,13280
2017-06-16,196.01,197.95,195.81,196.44,3708188.0,196.626,17059
2017-06-19,197.88,199.47,197.0,199.08,1944198.0,198.864,12095
2017-06-20,198.75,201.24,198.31,198.33,2379240.0,199.722,14238
2017-06-21,199.58,199.71,197.56,199.17,2602439.0,198.726,13867
2017-06-22,199.25,200.41,199.18,199.44,2609546.0,199.802,16342
2017-06-23,199.11,202.35,198.68,202.23,2768785.0,201.377,17456
2017-06-26,202.77,204.39,199.94,199.98,2511774.0,201.719,16842
2017-06-27,199.8,200.92,198.89,198.89,1785875.0,199.611,12437
2017-06-28,199.5,200.95,199.3,199.62,1230581.0,199.883,8401
2017-06-29,199.62,199.76,196.45,197.46,1841484.0,197.797,13085
2017-06-30,198.5,199.44,197.39,197.75,1544263.0,198.363,10621
2017-07-03,198.07,199.44,197.75,198.59,1085837.0,198.643,6396
2017-07-05,199.3,202.14,198.86,201.81,1552633.0,201.227,10074
2017-07-06,201.48,202.49,200.78,201.48,2104502.0,201.751,13640
2017-07-07,202.24,203.28,201.26,202.37,2006117.0,202.499,13747
2017-07-10,202.32,204.58,202.19,203.96,1987516.0,203.395,13044
2017-07-11,204.0,206.66,204.0,206.27,2031170.0,205.785,13819
2017-07-12,206.95,208.61,206.32,206.44,2201799.0,207.149,15198
2017-07-13,206.8,207.0,205.35,206.23,1411902.0,206.232,8660
2017-07-14,206.8,208.73,206.74,208.51,1801838.0,207.892,11406
2017-07-17,208.73,209.72,208.73,209.0,1891288.0,209.322,12158
2017-07-18,209.11,209.19,207.53,208.24,1416530.0,208.347,8690
2017-07-19,209.43,210.93,208.99,210.88,1775806.0,210.131,11347
2017-07-20,211.25,211.25,209.91,210.28,1579089.0,210.501,10831
2017-07-21,209.85,212.21,209.41,212.14,1550741.0,210.93,9058
2017-07-24,212.0,212.64,211.4,212.18,1651868.0,212.083,11364
2017-07-25,213.22,214.0,211.95,212.46,2180450.0,212.825,14136
2017-07-26,223.48,233.98,223.02,233.45,11366112.0,229.646,64833
2017-07-27,237.13,242.68,236.7,241.0,8998702.0,239.799,47736
2017-07-28,240.82,242.0,238.55,241.27,3183650.0,240.494,19595
2017-07-31,241.85,246.49,241.82,242.46,4437215.0,244.0,22440
2017-08-01,243.38,244.0,239.15,239.44,3922061.0,241.414,23658
2017-08-02,239.06,241.56,237.88,237.95,3926156.0,239.245,26326
2017-08-03,237.06,239.59,236.04,238.25,4181093.0,237.826,27240
2017-08-04,238.58,239.73,236.38,237.71,3147866.0,237.684,21093
2017-08-07,237.6,241.43,237.21,240.23,2714248.0,240.013,17486
