date,open,high,low,close,volume,average,barCount
2017-02-13,81.18,81.3,80.46,80.91,3104421.0,80.889,20323
2017-02-14,80.95,81.3,80.56,80.92,2860090.0,80.933,16917
2017-02-15,81.24,82.83,80.89,81.67,4699749.0,81.718,29769
2017-02-16,81.55,81.72,80.5,80.82,4688573.0,80.947,25353
2017-02-17,80.57,81.47,80.25,81.47,2993785.0,81.066,16737
2017-02-21,81.68,82.42,81.29,82.18,3414198.0,81.972,21326
2017-02-22,82.0,82.39,81.71,82.08,2180869.0,82.061,13996
2017-02-23,82.33,83.13,81.82,82.07,4968223.0,82.275,32306
2017-02-24,81.41,81.82,80.97,81.78,3904897.0,81.443,24920
2017-02-27,81.63,81.92,80.9,81.54,2664845.0,81.499,16774
2017-02-28,81.5,81.83,80.68,81.35,7332138.0,81.353,46621
2017-03-01,82.82,84.4,82.11,83.81,12212735.0,83.356,73201
2017-03-02,83.56,83.7,82.35,82.67,5176557.0,82.746,30770
2017-03-03,82.0,82.59,81.65,82.22,5376885.0,82.092,27981
2017-03-06,81.76,82.72,81.62,82.5,4183780.0,82.228,22487
2017-03-07,83.36,84.39,82.81,82.97,4660498.0,83.398,26708
2017-03-08,82.96,83.84,82.93,83.48,3179854.0,83.534,20858
2017-03-09,83.19,83.58,82.81,83.28,2809335.0,83.269,18032
2017-03-10,83.56,83.95,83.24,83.51,3343028.0,83.55,20812
2017-03-13,83.47,83.74,83.08,83.61,2705380.0,83.395,18442
2017-03-14,83.42,83.62,82.73,83.51,2440167.0,83.242,15843
2017-03-15,83.56,83.77,82.99,83.48,2435432.0,83.426,17074
2017-03-16,83.95,84.0,83.27,83.52,2968199.0,83.541,18638
2017-03-17,83.94,83.98,83.02,83.03,4002624.0,83.397,20702
2017-03-20,83.06,83.63,82.81,82.9,2628669.0,83.191,17578
2017-03-21,83.0,83.18,81.37,81.55,3082835.0,82.025,21966
2017-03-22,81.69,81.97,81.14,81.88,2665535.0,81.611,17746
2017-03-23,82.0,82.4,81.46,81.52,2411133.0,81.8,17109
2017-03-24,81.88,82.25,81.29,81.61,3077532.0,81.769,20439
2017-03-27,81.0,81.79,80.5,81.61,2907782.0,81.396,20588
2017-03-28,81.48,82.35,81.3,82.14,2698026.0,81.951,17797
