date,open,high,low,close,volume,average,barCount
2017-02-07,41.19,41.6,41.19,41.46,21833980.0,41.4264,8364
2017-02-08,41.53,41.71,41.26,41.49,14495460.0,41.56305,5695
2017-02-09,41.59,41.6,41.32,41.5,13846540.0,41.50365,5616
2017-02-10,41.65,41.86,41.53,41.74,17395800.0,41.75085,6833
2017-02-13,41.89,42.09,41.81,41.95,15216640.0,41.92505,5776
2017-02-14,41.99,42.1,41.79,42.0,12349540.0,41.99885,4798
2017-02-15,41.94,42.09,41.81,41.87,16415980.0,41.9521,6399
2017-02-16,41.93,42.13,41.86,42.11,10849080.0,42.0408,4281
2017-02-17,42.04,42.35,41.99,42.33,17937680.0,42.2187,6355
2017-02-21,42.4,42.61,42.33,42.46,13822360.0,42.4694,5167
2017-02-22,42.4,42.69,42.34,42.57,14424680.0,42.56935,5521
2017-02-23,42.56,42.63,42.12,42.55,16708300.0,42.3802,6456
2017-02-24,42.38,42.42,42.15,42.39,15727400.0,42.28065,6018
2017-02-27,42.25,42.53,42.15,42.48,11447960.0,42.3688,4325
2017-02-28,42.37,42.44,42.07,42.25,13990180.0,42.21965,5604
2017-03-01,42.57,42.9,42.45,42.84,22248560.0,42.73995,8141
2017-03-02,42.82,42.82,42.44,42.49,14727060.0,42.57405,5910
2017-03-03,42.45,42.54,42.24,42.45,11837220.0,42.3825,4680
2017-03-06,42.34,42.45,42.06,42.36,11502540.0,42.28635,4696
2017-03-07,42.36,42.67,42.28,42.56,11295120.0,42.5258,4458
2017-03-08,42.66,42.85,42.56,42.68,11859040.0,42.72035,4743
2017-03-09,42.68,43.04,42.63,42.89,15069500.0,42.8582,5646
2017-03-10,43.13,43.21,42.88,43.07,16768300.0,43.0707,6683
2017-03-13,43.04,43.36,43.04,43.23,10353900.0,43.24275,3813
2017-03-14,43.19,43.38,43.01,43.3,12049580.0,43.2271,4735
2017-03-15,43.4,43.49,43.06,43.42,15059280.0,43.3148,6008
2017-03-16,43.53,43.64,43.38,43.5,13269620.0,43.5025,4997
2017-03-17,43.64,43.72,43.42,43.62,20411360.0,43.64075,4610
2017-03-20,43.47,43.52,43.23,43.4,17141560.0,43.3657,6980
2017-03-21,43.5,43.67,42.38,42.51,32295780.0,42.8324,12524
2017-03-22,42.47,42.77,42.35,42.49,16847860.0,42.57625,6906
2017-03-23,42.07,42.08,41.65,41.98,43562160.0,41.8699,17532
2017-03-24,42.1,42.2,41.46,41.76,28282020.0,41.85355,11348
2017-03-27,41.4,42.07,41.21,41.93,25406760.0,41.7347,10020
2017-03-28,41.98,42.27,41.61,42.03,19473280.0,41.96225,7925
2017-03-29,42.14,42.58,42.07,42.49,18301760.0,42.3943,6827
2017-03-30,42.6,42.6,42.34,42.47,11769940.0,42.4893,4614
2017-03-31,42.34,42.48,42.26,42.39,15236620.0,42.3961,5934
2017-04-03,42.4,42.95,42.38,42.84,24596880.0,42.69375,9484
2017-04-04,42.4,42.65,42.38,42.63,17995060.0,42.5358,7271
2017-04-05,42.74,43.03,42.38,42.45,24592240.0,42.66975,9913
2017-04-06,42.48,42.68,42.2,42.26,16554160.0,42.3936,7048
2017-04-07,42.25,42.29,41.87,42.11,13597640.0,42.0655,5540
2017-04-10,42.08,42.34,42.04,42.09,12101940.0,42.1705,4909
2017-04-11,42.09,42.23,41.73,41.99,11572060.0,41.93135,4544
2017-04-12,41.92,42.19,41.88,42.07,12559700.0,42.01525,5132
2017-04-13,42.05,42.19,41.89,42.01,13571560.0,42.08885,5279
2017-04-17,42.07,42.78,42.05,42.76,12611980.0,42.55975,5024
2017-04-18,42.63,42.87,42.56,42.7,11800300.0,42.7128,4716
2017-04-19,42.87,43.01,42.68,42.83,12003060.0,42.8669,4884
2017-04-20,42.99,43.2,42.88,43.0,14227400.0,43.0668,5655
2017-04-21,43.03,43.12,42.89,42.95,13813460.0,42.99045,4938
2017-04-24,43.42,44.0,43.31,43.95,20414680.0,43.7594,7914
2017-04-25,44.11,44.61,43.96,44.44,23892220.0,44.33405,8432
2017-04-26,44.57,44.65,44.26,44.46,15111540.0,44.4663,5935
2017-04-27,44.5,44.67,44.36,44.57,23280040.0,44.50495,9309
2017-04-28,46.39,46.8,46.16,46.23,48627700.0,46.4535,18968
2017-05-01,46.21,46.79,46.04,46.64,28385780.0,46.52805,10821
2017-05-02,46.66,47.15,46.55,46.85,23295740.0,46.8666,9096
2017-05-03,46.8,47.51,46.76,47.42,24466100.0,47.1586,9474
2017-05-04,47.51,47.96,47.37,47.74,24162520.0,47.6844,9103
2017-05-05,47.84,47.92,47.4,47.51,18850000.0,47.5703,7607
2017-05-08,47.37,48.05,47.37,47.93,19619840.0,47.7065,7141
2017-05-09,48.07,48.11,47.72,47.84,22616460.0,47.9005,6798
2017-05-10,47.81,47.84,47.49,47.74,13701640.0,47.65375,5167
2017-05-11,47.56,47.9,47.43,47.79,12446380.0,47.6908,4910
2017-05-12,47.89,47.9,47.6,47.76,16427000.0,47.76445,6237
2017-05-15,47.76,48.14,47.64,47.96,14034280.0,47.95285,5308
2017-05-16,48.18,48.3,48.02,48.23,12494200.0,48.16855,4758
2017-05-17,48.0,48.05,47.0,47.11,27347660.0,47.52895,10501
2017-05-18,47.17,47.71,47.06,47.52,21786800.0,47.42985,8586
2017-05-19,47.65,47.98,47.6,47.73,17370880.0,47.82725,6158
2017-05-22,47.85,48.24,47.83,48.2,16141400.0,48.1088,5877
2017-05-23,48.5,48.73,48.22,48.53,19727320.0,48.50045,7255
2017-05-24,48.76,48.91,48.58,48.88,12565620.0,48.7373,4626
2017-05-25,48.97,49.79,48.89,49.59,24704380.0,49.4378,8510
2017-05-26,49.6,49.82,49.37,49.66,20183040.0,49.62515,7288
2017-05-30,49.63,49.88,49.57,49.81,17155720.0,49.75285,6304
2017-05-31,49.81,49.98,49.08,49.35,18538120.0,49.41815,7024
2017-06-01,49.55,49.66,49.06,49.41,14098760.0,49.33115,5394
2017-06-02,49.43,49.82,49.35,49.81,22622020.0,49.65335,8341
2017-06-05,49.89,50.37,49.77,50.19,17142040.0,50.1749,6274
2017-06-06,50.17,50.43,49.74,49.83,18357160.0,50.13375,6929
2017-06-07,49.94,50.2,49.79,50.08,16549120.0,50.0114,6139
2017-06-08,50.21,50.28,49.83,50.21,16331520.0,50.05525,6401
2017-06-09,50.27,50.28,47.67,48.51,45835820.0,48.93765,16800
2017-06-12,47.94,48.4,46.84,48.09,56126780.0,47.68585,20306
