date,open,high,low,close,volume,average,barCount
2017-02-13,244.49,247.48,244.49,246.27,2308030.0,246.605,14056
2017-02-14,245.75,250.0,245.69,249.46,3291856.0,248.811,20352
2017-02-15,250.58,251.95,248.51,250.54,3552046.0,250.572,20389
2017-02-16,250.3,250.78,248.44,249.44,1735610.0,249.478,11106
2017-02-17,247.51,250.56,247.11,250.38,2241395.0,249.281,13169
2017-02-21,251.0,252.65,250.71,251.76,2138045.0,251.769,13971
2017-02-22,250.06,252.35,250.0,251.73,1719445.0,251.219,10868
2017-02-23,251.31,251.9,249.32,251.19,1910053.0,250.618,12769
2017-02-24,247.5,248.88,246.1,247.35,2776285.0,247.476,17408
2017-02-27,247.21,249.76,246.61,249.33,1665700.0,248.369,11580
2017-02-28,248.0,249.0,245.61,248.06,2622355.0,247.611,16387
2017-03-01,253.71,255.15,251.26,252.71,4149072.0,253.37,27341
2017-03-02,253.52,254.24,250.97,251.06,2351021.0,252.442,15775
2017-03-03,251.73,254.75,251.5,252.89,2520974.0,253.287,16271
2017-03-06,252.17,252.73,250.5,252.01,1776231.0,251.595,11302
2017-03-07,252.49,253.0,250.31,250.9,1840937.0,251.394,13006
2017-03-08,253.62,254.77,249.61,250.24,2892559.0,251.64,18381
2017-03-09,251.22,252.74,249.52,250.18,2392550.0,251.01,16675
2017-03-10,251.85,251.9,246.87,248.38,2774923.0,249.027,18670
2017-03-13,249.32,249.32,247.2,248.16,1351472.0,248.309,9194
2017-03-14,246.81,247.83,245.41,247.72,1704637.0,246.71,11458
2017-03-15,248.35,250.28,245.56,246.78,2719888.0,248.08,17780
2017-03-16,247.85,250.2,247.31,248.22,2380767.0,248.868,15963
2017-03-17,249.68,249.68,243.86,243.94,4394226.0,246.162,20564
2017-03-20,243.32,244.93,241.52,242.14,2182658.0,243.102,14877
2017-03-21,243.31,243.31,232.79,233.0,4632047.0,235.988,30519
2017-03-22,231.22,232.92,229.15,231.07,5266337.0,231.202,35308
2017-03-23,230.75,234.63,229.95,231.9,3944276.0,232.971,23898
2017-03-24,233.0,233.7,226.97,228.41,5441929.0,229.483,34823
2017-03-27,223.3,227.07,220.85,225.48,7926695.0,223.934,50834
2017-03-28,225.58,229.75,225.1,229.33,3223757.0,228.44,22543
2017-03-29,229.39,229.97,227.52,228.45,2202404.0,228.568,15084
2017-03-30,229.48,232.0,229.38,231.22,2643248.0,231.058,16646
2017-03-31,230.53,230.8,228.73,229.72,2172958.0,229.776,14586
2017-04-03,229.95,230.1,225.57,228.96,2853527.0,227.799,18718
2017-04-04,227.72,230.69,227.28,229.26,2500997.0,229.297,16569
2017-04-05,232.14,232.89,227.31,227.66,4667668.0,229.373,27571
