date,open,high,low,close,volume,average,barCount
2017-02-13,87.41,88.74,87.41,88.15,13128630.0,88.281,59071
2017-02-14,88.3,89.7,88.1,89.56,14114490.0,89.127,71962
2017-02-15,90.08,90.87,89.35,90.59,14690109.0,90.281,68368
2017-02-16,90.4,91.04,89.77,90.53,14701475.0,90.316,81075
2017-02-17,89.82,90.47,89.69,90.23,12726163.0,90.1,57146
2017-02-21,90.51,91.15,90.46,91.01,9712668.0,90.803,50418
2017-02-22,90.52,91.3,90.42,91.06,8134202.0,90.873,43144
2017-02-23,91.18,91.34,90.52,91.13,8982682.0,90.911,51294
2017-02-24,90.18,90.54,89.73,90.33,12350019.0,90.066,63227
2017-02-27,90.32,90.73,90.02,90.43,9681918.0,90.405,50558
2017-02-28,89.84,90.82,89.58,90.62,11159851.0,90.343,57021
2017-03-01,92.79,93.98,92.61,93.6,19485672.0,93.419,96194
2017-03-02,93.87,93.92,92.03,92.14,13077560.0,92.717,69234
2017-03-03,92.23,93.11,92.19,92.8,10723743.0,92.712,56596
2017-03-06,92.25,92.32,91.1,91.92,11948423.0,91.725,62625
2017-03-07,91.67,92.09,91.21,91.41,9212920.0,91.563,47600
2017-03-08,92.68,92.86,91.1,91.21,14055716.0,91.829,68573
2017-03-09,91.6,92.14,91.15,91.57,11389488.0,91.704,61169
2017-03-10,91.95,92.0,90.53,91.28,11308370.0,91.332,60395
2017-03-13,91.31,91.78,90.93,91.36,7711428.0,91.404,41407
2017-03-14,91.02,91.65,90.76,91.51,8071647.0,91.176,45062
2017-03-15,91.8,92.55,91.13,91.73,14587249.0,91.854,77323
2017-03-16,92.02,92.81,91.57,91.64,12092637.0,92.147,64955
2017-03-17,91.83,92.04,90.65,90.68,16617872.0,91.289,66710
2017-03-20,90.27,91.17,89.79,90.03,11502169.0,90.582,58933
2017-03-21,90.36,90.64,87.06,87.39,26776933.0,88.245,139584
2017-03-22,86.89,88.07,86.01,87.53,18818777.0,87.432,98439
2017-03-23,87.21,88.5,87.09,87.39,13026257.0,87.807,71342
2017-03-24,87.79,88.09,86.77,87.29,13343875.0,87.518,74733
2017-03-27,85.7,87.41,85.23,87.24,14112528.0,86.703,78417
2017-03-28,87.02,89.02,86.98,88.6,12041890.0,88.404,64164
2017-03-29,88.6,88.82,88.08,88.27,8461890.0,88.359,45993
2017-03-30,88.2,89.46,88.12,89.03,9809095.0,88.888,53713
2017-03-31,88.71,88.74,87.75,87.84,13445255.0,88.126,67813
2017-04-03,87.99,88.17,86.6,87.52,15407535.0,87.256,82668
2017-04-04,86.89,87.67,86.71,87.31,12008367.0,87.246,63196
2017-04-05,88.42,88.54,86.13,86.19,15433176.0,87.419,76782
2017-04-06,85.98,86.91,85.25,86.48,11840279.0,86.336,58797
2017-04-07,85.95,86.81,85.71,86.18,10853265.0,86.288,57671
2017-04-10,86.08,86.69,85.4,85.88,11679004.0,86.024,64046
2017-04-11,85.51,85.79,84.8,85.73,12905518.0,85.322,71416
2017-04-12,85.93,85.95,85.03,85.4,12769729.0,85.488,71157
2017-04-13,85.5,86.99,84.4,84.4,27365465.0,85.488,133283
2017-04-17,84.45,86.08,84.37,85.86,15553790.0,85.131,77309
2017-04-18,85.36,85.63,84.74,85.16,12550503.0,85.241,64359
