date,open,high,low,close,volume,average,barCount
2017-02-13,77.57,78.06,77.53,77.77,1627424.0,77.77,9680
2017-02-14,77.5,78.83,77.25,78.81,2642771.0,78.129,15365
2017-02-15,78.34,80.54,78.05,80.25,3358350.0,79.587,21120
2017-02-16,80.05,80.38,79.41,80.04,2829148.0,79.915,20648
2017-02-17,80.14,81.0,80.07,80.39,2403962.0,80.307,14284
2017-02-21,80.17,80.87,80.11,80.36,2250864.0,80.426,15060
2017-02-22,80.42,81.21,80.33,81.07,2700678.0,80.871,16462
2017-02-23,81.32,82.88,81.14,82.55,4106327.0,82.285,24369
2017-02-24,82.42,83.24,82.24,82.87,3181939.0,82.79,20677
2017-02-27,82.83,83.4,82.66,83.06,2508835.0,83.042,17406
2017-02-28,82.82,83.48,82.58,82.81,2260713.0,82.942,15802
2017-03-01,83.44,84.14,82.97,83.85,2475971.0,83.691,17294
2017-03-02,83.87,83.95,82.83,82.91,2512150.0,83.385,18414
2017-03-03,82.7,83.9,82.6,83.78,2070571.0,83.556,13568
2017-03-06,83.25,84.28,82.95,83.83,3228670.0,83.913,20367
2017-03-07,82.88,83.14,81.37,82.74,4640688.0,82.601,29111
2017-03-08,82.74,83.99,82.67,83.41,3618935.0,83.397,22133
2017-03-09,83.67,84.77,83.51,84.55,3583388.0,84.239,19729
2017-03-10,84.5,84.55,83.9,84.36,2675956.0,84.259,16826
2017-03-13,84.51,84.55,83.83,84.14,1704348.0,84.215,11776
2017-03-14,84.0,84.55,83.91,84.46,2110073.0,84.322,12799
2017-03-15,84.43,86.14,84.37,85.88,3788046.0,85.488,26729
2017-03-16,85.54,85.54,83.8,84.99,3783213.0,84.756,23743
2017-03-17,84.44,84.75,83.83,83.96,3331287.0,84.309,17296
2017-03-20,84.6,84.86,83.96,84.06,1998575.0,84.302,13148
2017-03-21,84.34,84.95,83.63,83.73,3271924.0,84.275,21973
2017-03-22,84.09,84.55,83.47,84.36,2232274.0,84.125,16221
2017-03-23,83.92,85.05,83.92,84.42,1981282.0,84.631,14794
2017-03-24,84.3,84.98,83.86,84.18,1552105.0,84.265,11201
2017-03-27,83.9,84.44,83.74,84.24,1750670.0,84.229,13496
2017-03-28,84.27,85.0,84.04,84.75,2100026.0,84.657,14301
2017-03-29,84.55,84.76,84.32,84.44,1473540.0,84.566,10736
2017-03-30,84.57,84.95,84.08,84.76,2696058.0,84.666,13773
2017-03-31,84.4,84.94,84.08,84.11,2084230.0,84.482,15058
2017-04-03,84.13,84.81,84.07,84.45,1793841.0,84.472,13010
2017-04-04,84.53,86.39,84.29,86.09,3995094.0,85.688,24191
2017-04-05,85.92,86.72,85.57,85.63,3323602.0,86.29,22471
2017-04-06,85.47,85.9,85.12,85.36,2054679.0,85.423,13932
2017-04-07,85.34,85.66,84.9,85.32,2185111.0,85.215,14860
2017-04-10,85.46,85.85,85.23,85.47,1233922.0,85.527,8594
2017-04-11,85.47,86.14,85.32,85.93,2193304.0,85.695,13536
2017-04-12,85.74,86.34,85.67,86.25,1967150.0,86.068,12535
2017-04-13,86.03,86.32,85.78,85.88,1702776.0,86.063,10872
2017-04-17,81.3,82.99,81.11,82.38,10300015.0,82.362,56319
2017-04-18,81.91,82.1,80.89,81.2,6851019.0,81.434,38256
2017-04-19,81.12,81.71,79.88,80.89,4600499.0,80.899,31076
2017-04-20,81.19,82.2,80.75,81.94,2576410.0,81.641,17824
2017-04-21,81.82,82.24,81.67,81.89,2273595.0,81.971,13824
2017-04-24,82.82,83.73,82.72,83.42,4083763.0,83.227,23382
2017-04-25,82.71,82.71,80.5,81.2,8076523.0,81.068,45922
2017-04-26,81.36,81.71,80.93,80.96,3611037.0,81.262,23331
2017-04-27,80.97,81.6,80.69,81.33,2598408.0,81.206,15957
2017-04-28,81.37,82.25,81.2,82.06,2337313.0,81.943,16638
2017-05-01,82.09,82.22,81.75,81.82,1849473.0,82.001,10943
2017-05-02,81.98,81.98,81.5,81.7,2857999.0,81.687,18610
2017-05-03,81.26,81.56,81.24,81.25,2704659.0,81.363,17505
2017-05-04,81.35,83.1,81.29,83.04,2741669.0,82.595,18963
2017-05-05,83.06,83.12,82.07,82.51,2607376.0,82.409,17410
2017-05-08,82.36,82.41,80.36,80.67,3410535.0,80.985,20088
2017-05-09,80.82,80.94,80.35,80.79,2206196.0,80.699,14618
2017-05-10,80.84,81.11,80.19,81.05,2625427.0,80.631,13703
2017-05-11,80.72,81.0,79.91,80.22,3297208.0,80.387,20357
2017-05-12,80.33,80.61,79.74,80.19,2278256.0,80.035,15471
2017-05-15,80.19,80.49,79.43,80.3,2032796.0,80.085,13607
2017-05-16,80.23,80.3,78.4,78.99,6151438.0,78.928,36270
2017-05-17,78.52,79.03,77.92,78.14,3251815.0,78.447,24592
2017-05-18,78.57,78.94,78.03,78.3,2315953.0,78.421,17708
2017-05-19,78.5,78.71,77.73,77.8,4340313.0,78.147,22094
2017-05-22,77.9,78.01,76.85,76.98,4598472.0,77.288,29873
2017-05-23,77.19,78.36,77.02,77.99,3898372.0,78.042,23174
2017-05-24,77.99,78.28,77.8,77.96,1813591.0,78.047,12759
2017-05-25,78.31,78.46,77.76,78.34,1282030.0,78.2,9420
2017-05-26,78.12,78.35,77.72,78.05,1818078.0,78.013,11484
2017-05-30,78.0,78.67,77.74,78.35,1664602.0,78.328,11738
2017-05-31,78.48,79.91,78.48,79.57,3601358.0,79.51,24488
2017-06-01,79.6,80.23,79.38,79.99,2464096.0,79.867,17008
2017-06-02,80.47,81.06,79.9,80.13,3181498.0,80.329,18691
2017-06-05,80.0,80.07,78.98,79.35,2290344.0,79.377,15611
2017-06-06,79.41,79.46,78.75,79.09,1924418.0,79.037,12497
2017-06-07,79.16,79.54,79.09,79.39,2242699.0,79.352,13950
2017-06-08,79.49,80.46,79.34,80.1,3753688.0,80.022,20614
2017-06-09,80.24,81.19,79.7,81.04,3429983.0,80.931,20648
2017-06-12,80.96,81.29,80.61,80.9,2400387.0,80.83,15277
2017-06-13,81.21,81.29,80.24,81.25,3660379.0,80.851,19667
2017-06-14,80.9,81.61,80.77,81.6,3296470.0,81.29,18949
2017-06-15,81.39,82.15,80.96,82.05,2923512.0,81.828,17196
2017-06-16,82.24,82.56,81.66,81.88,3071336.0,81.925,15662
2017-06-19,82.02,82.76,81.87,82.34,1797812.0,82.414,10700
2017-06-20,82.22,83.68,82.22,82.75,2863181.0,83.031,17905
