date,open,high,low,close,volume,average,barCount
2017-02-13,134.65,134.7,133.7,134.05,11527684.0,134.114,55902
2017-02-14,134.19,134.23,132.55,133.85,12305230.0,133.516,59686
2017-02-15,133.42,133.7,132.66,133.44,11000772.0,133.273,55148
2017-02-16,133.06,133.87,133.02,133.84,10954402.0,133.402,49351
2017-02-17,133.5,134.1,133.17,133.53,9675923.0,133.536,41385
2017-02-21,133.51,133.91,132.9,133.72,12010635.0,133.379,57850
2017-02-22,133.6,136.79,133.46,136.12,24032687.0,135.818,94820
2017-02-23,135.89,136.12,134.33,135.36,15494642.0,135.123,70561
2017-02-24,134.77,135.62,134.16,135.44,10446793.0,135.16,48658
2017-02-27,135.27,137.19,135.02,136.41,11923806.0,136.179,57154
2017-02-28,136.8,136.81,134.75,135.54,12731724.0,135.835,61614
2017-03-01,136.47,137.48,136.3,137.42,13660289.0,136.913,66573
2017-03-02,137.09,137.82,136.31,136.76,9785552.0,136.86,50226
2017-03-03,136.63,137.33,136.08,137.17,9205129.0,136.794,45251
2017-03-06,136.88,137.83,136.51,137.42,9638987.0,137.189,48164
2017-03-07,137.11,138.37,136.99,137.3,11449003.0,137.515,52097
2017-03-08,137.15,137.99,137.05,137.72,8416451.0,137.685,43391
2017-03-09,137.72,138.57,137.4,138.24,11835399.0,138.155,56699
2017-03-10,138.91,139.49,138.22,138.79,12965762.0,138.82,59362
2017-03-13,138.69,139.68,138.67,139.6,8790927.0,139.339,40685
2017-03-14,139.42,139.46,138.52,139.32,10910742.0,138.939,49358
2017-03-15,139.28,140.0,138.49,139.72,16484991.0,139.361,73646
2017-03-16,140.2,140.25,139.73,139.99,11705887.0,139.978,59236
2017-03-17,140.21,140.34,139.7,139.84,13138522.0,140.039,49768
2017-03-20,139.71,140.19,139.25,139.94,8871315.0,139.831,44892
2017-03-21,141.15,142.31,138.4,138.51,25603351.0,140.199,129957
2017-03-22,137.93,139.79,137.6,139.59,14838947.0,138.9,75489
2017-03-23,139.48,140.39,139.09,139.53,10223644.0,139.71,52487
2017-03-24,140.08,141.03,139.76,140.34,14434752.0,140.419,69342
2017-03-27,139.05,140.65,138.77,140.32,10398869.0,140.034,49022
2017-03-28,140.37,141.95,140.01,141.76,12486544.0,141.135,61467
2017-03-29,141.99,142.86,141.43,142.65,12897811.0,142.119,58737
2017-03-30,142.6,142.95,141.85,142.41,10271874.0,142.396,52117
2017-03-31,142.31,142.63,141.89,142.05,8916544.0,142.281,44145
2017-04-03,141.93,142.47,140.82,142.28,11107986.0,141.75,57283
2017-04-04,141.86,142.09,141.27,141.73,10313290.0,141.636,51351
2017-04-05,142.21,143.44,141.29,141.85,13942583.0,142.564,70525
2017-04-06,142.11,142.22,140.91,141.17,11375730.0,141.438,62212
2017-04-07,141.2,141.55,140.24,140.78,9630262.0,141.072,50742
2017-04-10,141.0,141.43,140.63,141.04,7143870.0,141.071,38569
2017-04-11,140.8,141.03,138.81,139.92,13600680.0,139.783,75837
2017-04-12,139.78,140.4,139.44,139.58,9910476.0,139.834,56009
2017-04-13,139.54,140.58,139.33,139.39,9306123.0,139.888,47705
2017-04-17,139.87,141.55,139.75,141.42,8080200.0,140.817,40887
2017-04-18,141.29,141.91,140.61,140.96,10157792.0,141.321,57522
2017-04-19,141.27,143.04,141.26,142.27,13073234.0,142.422,68887
2017-04-20,142.92,144.25,142.68,143.8,13224152.0,143.618,67445
2017-04-21,144.0,144.17,143.39,143.68,9226971.0,143.694,45778
2017-04-24,144.94,145.68,144.34,145.47,12214816.0,145.233,62399
2017-04-25,145.8,147.15,145.78,146.49,13110436.0,146.483,58695
2017-04-26,147.14,147.59,146.09,146.56,9642580.0,146.723,48548
2017-04-27,146.67,147.75,146.14,147.7,9115182.0,147.12,44160
2017-04-28,149.42,151.53,149.07,150.25,26580206.0,150.189,134631
2017-05-01,151.71,152.57,151.42,152.46,21620070.0,152.033,96093
2017-05-02,153.4,153.44,151.66,152.78,18197998.0,152.708,91399
2017-05-03,153.35,153.6,151.34,151.8,18103248.0,152.053,92908
2017-05-04,150.17,151.52,148.72,150.85,30267896.0,150.342,139502
2017-05-05,151.47,151.63,149.79,150.24,14955296.0,150.367,72465
2017-05-08,150.71,151.08,149.74,151.06,12437357.0,150.511,59444
2017-05-09,151.49,152.59,150.21,150.48,15249426.0,151.35,70362
2017-05-10,150.23,150.52,148.86,150.29,10131435.0,149.89,50302
2017-05-11,150.31,150.65,149.41,150.04,9326962.0,149.938,52906
2017-05-12,150.34,150.46,149.63,150.33,8057137.0,150.06,42477
2017-05-15,150.17,151.48,149.77,150.19,11050907.0,150.35,52508
2017-05-16,150.11,150.21,149.03,149.78,11894879.0,149.698,62297
2017-05-17,148.0,148.67,144.42,144.85,22405118.0,146.762,123920
2017-05-18,144.72,148.15,144.51,147.66,18009885.0,146.838,101067
2017-05-19,148.46,149.39,147.96,148.06,13246049.0,148.569,68710
2017-05-22,148.08,148.59,147.69,148.24,10142114.0,148.074,53044
2017-05-23,148.52,148.81,147.25,148.07,10771139.0,147.824,52844
2017-05-24,148.49,150.23,148.42,150.04,14977321.0,149.62,77601
2017-05-25,150.3,152.59,149.95,151.96,16841601.0,151.46,87044
2017-05-26,152.21,152.25,151.15,152.13,12144621.0,151.748,56040
2017-05-30,151.97,152.9,151.64,152.38,11230764.0,152.369,57967
2017-05-31,152.7,153.35,151.09,151.46,14285810.0,151.888,72508
2017-06-01,151.75,152.29,150.3,151.53,12538977.0,151.343,63123
2017-06-02,151.85,153.63,151.3,153.61,14584244.0,152.625,75387
2017-06-05,153.64,154.71,153.41,153.63,10581750.0,154.025,50086
2017-06-06,153.41,154.52,152.48,152.81,10374435.0,153.704,57071
2017-06-07,153.27,153.75,152.34,153.12,9657703.0,153.016,52920
2017-06-08,154.08,154.73,153.1,154.71,12913719.0,153.911,72260
2017-06-09,154.77,155.59,146.61,149.6,30175034.0,151.511,162301
2017-06-12,148.17,149.2,144.56,148.44,27313573.0,147.184,150792
2017-06-13,150.13,151.18,148.9,150.68,17052861.0,150.411,97511
2017-06-14,151.28,152.4,149.05,150.25,16940797.0,151.088,98684
2017-06-15,147.67,150.04,146.37,149.8,16340201.0,148.202,90995
2017-06-16,149.66,150.83,148.6,150.64,15636687.0,150.063,76124
