date,open,high,low,close,volume,average,barCount
2017-02-13,64.23,64.86,64.13,64.72,16969641.0,64.563,81993
2017-02-14,64.59,64.72,64.02,64.57,15716685.0,64.337,81359
2017-02-15,64.49,64.57,64.15,64.53,12790558.0,64.403,67047
2017-02-16,64.73,65.24,64.44,64.52,17221232.0,64.763,84492
2017-02-17,64.46,64.69,64.3,64.62,14865957.0,64.483,60473
2017-02-21,64.64,64.95,64.45,64.49,14724145.0,64.607,72317
2017-02-22,64.35,64.39,64.05,64.36,15214027.0,64.223,71198
2017-02-23,64.43,64.73,64.19,64.62,16673641.0,64.468,88514
2017-02-24,64.49,64.8,64.13,64.62,17545657.0,64.455,88485
2017-02-27,64.54,64.54,64.04,64.23,13531700.0,64.174,68837
2017-02-28,64.08,64.2,63.76,63.98,17245026.0,63.933,87968
2017-03-01,64.16,64.99,64.02,64.94,20817897.0,64.715,108258
2017-03-02,64.69,64.75,63.88,64.01,20874370.0,64.088,92172
2017-03-03,63.99,64.28,63.62,64.25,14855220.0,64.026,73760
2017-03-06,64.0,64.56,63.81,64.27,13531860.0,64.323,70258
2017-03-07,64.2,64.78,64.19,64.4,14265127.0,64.412,76891
2017-03-08,64.26,65.09,64.25,64.99,16412610.0,64.839,85565
2017-03-09,65.19,65.2,64.48,64.73,15773903.0,64.805,85655
2017-03-10,65.1,65.26,64.75,64.93,15541488.0,64.975,77119
2017-03-13,65.01,65.2,64.57,64.71,12768399.0,64.78,56536
2017-03-14,64.53,64.55,64.15,64.41,10682147.0,64.371,53160
2017-03-15,64.5,64.92,64.25,64.75,14090104.0,64.623,72538
2017-03-16,64.75,64.76,64.3,64.64,17178905.0,64.53,81471
2017-03-17,64.87,65.24,64.68,64.87,34569346.0,64.955,92426
2017-03-20,64.91,65.18,64.72,64.93,10039475.0,64.93,55295
2017-03-21,65.19,65.5,64.13,64.21,21582783.0,64.718,122771
2017-03-22,64.23,65.14,64.12,65.03,15890185.0,64.812,89026
2017-03-23,64.96,65.24,64.76,64.87,15290537.0,64.969,88596
2017-03-24,65.17,65.45,64.76,64.98,18509561.0,65.12,100911
2017-03-27,64.63,65.22,64.35,65.1,13401435.0,64.833,71092
2017-03-28,64.96,65.47,64.65,65.29,15775649.0,65.102,84969
2017-03-29,65.12,65.5,64.94,65.47,11090537.0,65.244,59681
2017-03-30,65.42,65.98,65.36,65.71,12851815.0,65.75,69208
2017-03-31,65.65,66.19,65.45,65.86,15302983.0,65.932,75061
2017-04-03,65.81,65.94,65.19,65.55,15349546.0,65.521,86839
2017-04-04,65.39,65.81,65.28,65.73,10402608.0,65.628,60633
2017-04-05,65.87,66.35,65.44,65.56,18152099.0,66.026,101074
2017-04-06,65.6,66.06,65.48,65.73,14744629.0,65.743,81321
2017-04-07,65.85,65.96,65.44,65.68,10993783.0,65.78,60581
2017-04-10,65.61,65.82,65.36,65.53,11263253.0,65.629,62965
2017-04-11,65.6,65.61,64.85,65.48,15929407.0,65.271,94197
2017-04-12,65.42,65.51,65.11,65.23,14342321.0,65.266,83320
2017-04-13,65.29,65.86,64.95,64.95,14563645.0,65.356,78036
2017-04-17,65.07,65.49,65.01,65.48,11976153.0,65.371,63642
2017-04-18,65.33,65.71,65.16,65.39,12899875.0,65.407,73205
2017-04-19,65.65,65.75,64.89,65.04,17990980.0,65.273,93764
2017-04-20,65.36,65.75,65.14,65.5,18228492.0,65.454,95196
2017-04-21,65.56,66.7,65.45,66.4,27485028.0,66.239,123471
2017-04-24,67.47,67.66,67.1,67.53,24932399.0,67.378,108588
2017-04-25,67.9,68.04,67.6,67.92,21898439.0,67.886,96050
2017-04-26,68.08,68.31,67.62,67.83,20489257.0,67.915,108978
2017-04-27,68.16,68.38,67.58,68.27,27000396.0,67.94,133930
2017-04-28,68.89,69.14,67.69,68.46,32411019.0,68.36,155569
2017-05-01,68.67,69.55,68.5,69.41,27119735.0,69.136,128370
2017-05-02,69.71,69.71,69.13,69.3,19179268.0,69.434,94949
2017-05-03,69.17,69.38,68.71,69.08,24576238.0,68.921,112086
2017-05-04,69.03,69.08,68.64,68.81,18562290.0,68.821,83864
2017-05-05,68.9,69.03,68.48,69.0,15644971.0,68.777,70457
2017-05-08,69.16,69.17,68.42,68.94,13891774.0,68.719,68442
2017-05-09,68.86,69.28,68.68,69.04,16855674.0,69.008,87517
2017-05-10,68.99,69.56,68.92,69.31,15254802.0,69.208,80117
