date,open,high,low,close,volume,average,barCount
2017-02-13,19.06,19.18,18.85,19.13,255100.0,19.0598,238
2017-02-14,19.06,19.4,18.95,19.3,572790.0,19.1917,441
2017-02-15,19.27,19.53,18.79,19.42,212440.0,19.3821,192
2017-02-16,19.22,19.36,19.05,19.27,275700.0,19.2235,215
2017-02-17,19.21,19.46,19.13,19.29,187350.0,19.2995,165
2017-02-21,19.31,19.72,19.15,19.58,606160.0,19.5225,449
2017-02-22,19.57,19.7,19.27,19.46,417750.0,19.4933,338
2017-02-23,19.5,19.62,19.15,19.33,545240.0,19.4038,345
2017-02-24,19.24,19.45,19.23,19.43,254930.0,19.3513,242
2017-02-27,19.35,19.57,19.17,19.44,214240.0,19.3935,205
2017-02-28,19.34,19.5,19.1,19.19,370620.0,19.3112,342
2017-03-01,19.41,19.46,19.15,19.38,332890.0,19.3165,314
2017-03-02,19.4,19.4,18.85,19.02,319910.0,19.0594,261
2017-03-03,19.09,19.11,18.71,19.0,283660.0,18.9314,262
2017-03-06,18.9,18.99,18.68,18.79,313390.0,18.8248,290
2017-03-07,18.77,19.07,18.59,18.76,456910.0,18.7372,432
2017-03-08,18.83,19.19,18.69,18.92,443360.0,18.9898,384
2017-03-09,18.99,19.08,18.59,18.76,195350.0,18.7963,186
2017-03-10,18.56,19.0,18.54,18.7,342860.0,18.6686,314
2017-03-13,18.61,18.97,18.61,18.89,370840.0,18.8088,333
2017-03-14,18.78,18.88,18.63,18.86,149680.0,18.7767,131
2017-03-15,18.93,19.05,18.75,19.0,230900.0,18.9338,200
2017-03-16,19.04,19.2,18.83,19.11,311000.0,19.0689,258
2017-03-17,19.05,19.3,19.03,19.19,479060.0,19.1048,197
2017-03-20,19.16,19.4,18.91,19.24,424030.0,19.2584,397
2017-03-21,19.38,19.38,18.72,18.8,653950.0,19.02,466
2017-03-22,18.77,18.89,18.36,18.7,314640.0,18.6163,279
2017-03-23,18.67,18.89,18.46,18.64,392990.0,18.6243,361
2017-03-24,18.68,18.71,18.46,18.61,173140.0,18.6095,162
2017-03-27,18.35,18.79,18.22,18.69,319190.0,18.5497,287
2017-03-28,18.7,18.85,18.51,18.77,231020.0,18.7578,193
2017-03-29,18.78,18.85,18.67,18.78,298990.0,18.7728,163
2017-03-30,18.81,18.93,18.54,18.83,297020.0,18.778,266
2017-03-31,18.75,18.94,18.56,18.78,232350.0,18.8256,212
2017-04-03,18.79,19.41,18.5,18.74,371840.0,18.6818,326
2017-04-04,18.64,18.8,18.39,18.63,241450.0,18.6053,225
2017-04-05,18.65,18.83,18.3,18.41,350140.0,18.5199,289
2017-04-06,18.7,18.7,18.14,18.35,576080.0,18.2751,357
2017-04-07,18.33,18.57,18.1,18.28,313150.0,18.2714,300
2017-04-10,18.35,18.64,18.35,18.48,211080.0,18.5135,182
2017-04-11,18.44,18.72,18.28,18.57,164080.0,18.5158,149
2017-04-12,18.54,18.59,18.3,18.39,132470.0,18.4543,114
2017-04-13,18.39,18.4,18.16,18.16,175650.0,18.2343,162
2017-04-17,18.27,18.57,18.18,18.42,601110.0,18.3959,415
2017-04-18,18.36,18.67,18.33,18.54,270740.0,18.5276,193
2017-04-19,18.51,18.73,18.5,18.59,151430.0,18.58,123
2017-04-20,18.59,18.85,18.41,18.81,359210.0,18.6187,308
2017-04-21,18.82,19.14,18.6,18.76,603940.0,18.8754,514
2017-04-24,19.05,19.2,18.73,19.07,259540.0,19.0146,245
2017-04-25,19.1,19.24,18.95,19.07,164220.0,19.1268,155
2017-04-26,19.07,19.46,18.92,19.3,328700.0,19.2806,298
2017-04-27,19.33,19.39,18.93,19.25,414930.0,19.1805,359
2017-04-28,18.95,19.12,18.15,19.02,1239040.0,18.7324,1028
2017-05-01,19.04,19.46,18.68,19.14,530740.0,19.0795,504
2017-05-02,19.22,19.38,18.64,18.8,403130.0,18.8442,395
2017-05-03,18.77,19.02,18.28,18.78,748900.0,18.6429,621
2017-05-04,18.85,19.04,18.73,18.92,616970.0,18.898,524
2017-05-05,18.97,19.11,18.76,19.1,289920.0,18.9528,264
2017-05-08,19.09,19.19,18.82,19.15,419910.0,19.0793,344
2017-05-09,19.18,19.39,18.73,18.79,682650.0,18.9289,472
2017-05-10,18.53,18.98,18.53,18.71,346100.0,18.7848,214
2017-05-11,18.68,18.82,18.39,18.71,249420.0,18.6633,213
2017-05-12,18.68,18.68,18.42,18.53,346080.0,18.5535,292
2017-05-15,18.51,18.92,18.51,18.71,287230.0,18.7157,238
2017-05-16,18.71,18.81,18.59,18.77,146760.0,18.6991,138
2017-05-17,18.52,18.8,18.33,18.39,315880.0,18.493,301
2017-05-18,18.37,18.6,18.29,18.41,595770.0,18.4516,531
2017-05-19,18.44,18.65,18.33,18.38,767490.0,18.4776,548
