date,open,high,low,close,volume,average,barCount
2017-02-13,24.11,24.2,23.82,23.9,15760146.0,23.957,62193
2017-02-14,23.37,23.4,22.68,23.12,43166757.0,22.997,151958
2017-02-15,23.07,23.26,22.79,23.02,25696872.0,23.042,84690
2017-02-16,23.04,23.34,22.85,22.98,21602210.0,23.082,85753
2017-02-17,23.01,23.38,23.01,23.35,19036558.0,23.233,64483
2017-02-21,23.65,23.98,23.58,23.77,17903598.0,23.774,64715
2017-02-22,23.86,24.06,23.65,23.75,14128764.0,23.771,49192
2017-02-23,23.92,23.97,23.22,23.48,18557195.0,23.455,77017
2017-02-24,22.96,23.26,22.64,23.24,20003650.0,23.06,80251
2017-02-27,23.38,23.77,23.15,23.76,15567146.0,23.515,57926
2017-02-28,23.76,23.95,23.31,23.44,13833476.0,23.559,55631
2017-03-01,24.16,24.58,24.07,24.55,25108721.0,24.401,87832
2017-03-02,24.88,25.25,24.37,24.7,42811551.0,24.857,154891
2017-03-03,25.2,25.68,24.98,25.57,35647061.0,25.416,114877
2017-03-06,25.5,25.92,25.17,25.71,22262625.0,25.537,83165
2017-03-07,25.56,25.75,25.28,25.64,17719023.0,25.557,69523
2017-03-08,25.64,25.83,25.04,25.38,23529580.0,25.449,82018
2017-03-09,25.23,25.49,24.85,25.15,19448013.0,25.154,76290
2017-03-10,25.28,25.75,24.81,25.18,26308467.0,25.219,98812
2017-03-13,25.39,25.82,25.29,25.7,18874038.0,25.587,64688
2017-03-14,25.53,25.7,25.25,25.58,12043234.0,25.444,43383
2017-03-15,25.19,26.15,24.93,26.12,27655170.0,25.538,93389
2017-03-16,26.2,26.23,25.83,26.04,17578803.0,25.985,60012
2017-03-17,25.86,25.91,25.4,25.8,14769795.0,25.772,46289
2017-03-20,25.99,26.61,25.81,26.21,24520126.0,26.275,78796
2017-03-21,26.3,26.44,25.43,25.52,26252769.0,25.862,99395
2017-03-22,25.73,26.15,25.63,26.06,22858968.0,25.958,84376
2017-03-23,26.38,26.49,26.04,26.47,31852295.0,26.318,109545
2017-03-24,29.72,29.87,28.16,28.43,94524378.0,28.913,282878
2017-03-27,28.12,29.18,28.07,28.76,39813042.0,28.681,122705
2017-03-28,28.73,29.06,28.62,28.69,22044339.0,28.8,74413
2017-03-29,28.6,28.68,28.35,28.5,21030369.0,28.488,78024
2017-03-30,28.4,29.0,28.33,28.97,22286789.0,28.744,78796
2017-03-31,29.1,29.36,28.9,28.9,27603761.0,29.088,99695
2017-04-03,28.97,29.04,28.3,28.64,18754876.0,28.608,67853
2017-04-04,28.47,28.68,28.16,28.59,12793624.0,28.515,49990
2017-04-05,28.63,28.91,28.23,28.26,20450109.0,28.644,75443
2017-04-06,28.25,28.78,28.02,28.62,17634911.0,28.444,65993
2017-04-07,28.45,28.86,28.35,28.52,17981533.0,28.512,60687
2017-04-10,28.45,28.49,27.58,27.64,25140965.0,27.97,83725
2017-04-11,27.52,27.55,26.68,27.18,35954537.0,27.007,121233
2017-04-12,27.42,27.43,26.65,26.69,21731755.0,26.946,72089
2017-04-13,26.56,27.23,26.36,26.74,24655124.0,26.909,80921
2017-04-17,26.91,27.22,26.83,27.13,11874068.0,27.024,41154
2017-04-18,27.0,27.34,26.9,27.14,13407124.0,27.102,50466
2017-04-19,27.45,27.55,27.05,27.26,19498252.0,27.261,72762
2017-04-20,27.51,28.08,27.5,27.96,21854855.0,27.751,73466
2017-04-21,28.03,28.03,27.16,27.32,24953935.0,27.518,80488
2017-04-24,27.74,27.76,26.52,26.57,40775374.0,26.845,127575
2017-04-25,26.71,27.02,26.36,26.99,19689771.0,26.823,70173
2017-04-26,26.58,27.07,26.39,26.79,21487344.0,26.726,72209
2017-04-27,27.19,27.65,27.09,27.63,21528661.0,27.37,65065
2017-04-28,28.02,28.2,27.51,27.67,25583247.0,27.766,86859
2017-05-01,27.85,28.32,27.72,28.29,21165535.0,28.108,70107
2017-05-02,28.28,28.28,27.45,27.77,23056138.0,27.705,80418
2017-05-03,27.62,28.1,27.55,28.0,13966161.0,27.856,46168
2017-05-04,27.97,28.17,27.72,27.79,11415491.0,27.916,44261
2017-05-05,27.8,28.22,27.62,28.2,13152251.0,27.955,46093
2017-05-08,27.55,28.06,27.28,28.06,26236380.0,27.737,78561
2017-05-09,28.11,28.9,28.06,28.81,28492807.0,28.661,95030
2017-05-10,28.92,29.42,28.8,29.32,25673609.0,29.199,87778
2017-05-11,29.17,29.31,28.69,29.03,18921617.0,28.973,68529
2017-05-12,29.1,29.12,28.68,28.93,14660439.0,28.836,43611
2017-05-15,29.08,29.19,28.73,28.83,13453782.0,28.877,44706
2017-05-16,28.92,29.08,28.57,29.02,13400442.0,28.859,49896
2017-05-17,28.36,28.51,26.96,27.0,33509681.0,27.696,122590
2017-05-18,27.15,27.89,27.08,27.48,24066000.0,27.509,95245
2017-05-19,27.78,28.16,27.73,27.82,17294677.0,27.922,60030
2017-05-22,28.2,28.25,27.64,28.06,14925427.0,27.937,55637
2017-05-23,28.08,28.29,27.56,28.29,20231297.0,27.893,60368
2017-05-24,28.46,29.12,28.44,28.99,20157968.0,28.83,67595
2017-05-25,29.22,29.66,29.19,29.43,19050983.0,29.471,70697
2017-05-26,29.27,29.77,28.87,29.76,16295324.0,29.332,51128
2017-05-30,29.96,30.87,29.88,30.7,31675705.0,30.55,107077
2017-05-31,31.01,31.1,30.32,30.77,21804028.0,30.686,81432
2017-06-01,30.78,30.83,30.28,30.76,17149309.0,30.566,70625
2017-06-02,30.8,31.38,30.53,31.21,18357944.0,31.035,66942
2017-06-05,31.25,31.76,31.07,31.21,22239222.0,31.403,83472
2017-06-06,31.04,31.77,30.87,31.57,26982605.0,31.459,99501
2017-06-07,31.7,32.55,31.7,32.5,27130656.0,32.22,98612
2017-06-08,32.81,32.86,31.88,32.45,23507830.0,32.322,82746
2017-06-09,32.67,32.93,29.55,30.6,47461425.0,31.297,184440
2017-06-12,30.06,31.69,29.21,31.2,42272787.0,30.613,169738
2017-06-13,31.75,32.24,30.77,31.54,31394152.0,31.491,126616
2017-06-14,31.78,31.79,30.85,31.06,22719916.0,31.337,99442
2017-06-15,30.47,30.97,30.08,30.56,28490160.0,30.586,135743
2017-06-16,30.62,31.0,29.82,29.86,27717964.0,30.277,111305
2017-06-19,30.5,31.25,30.33,31.2,22510047.0,30.978,88706
2017-06-20,31.49,31.58,30.73,30.83,21647953.0,31.129,93515
2017-06-21,31.18,32.15,31.06,32.01,28296974.0,31.72,122191
2017-06-22,32.03,32.4,31.76,31.89,15546605.0,32.036,66341
2017-06-23,31.89,32.08,31.64,31.73,21665724.0,31.873,80128
2017-06-26,32.39,32.96,31.95,32.5,31331760.0,32.543,109984
2017-06-27,32.51,32.67,31.61,31.66,29064902.0,32.15,110200
2017-06-28,32.07,32.28,31.44,32.24,25487723.0,31.944,88221
2017-06-29,32.23,32.39,30.64,31.47,45922928.0,31.466,183307
2017-06-30,32.1,32.15,29.7,29.86,66054629.0,30.385,223438
2017-07-03,30.09,30.28,28.56,29.14,33510340.0,29.262,114327
2017-07-05,29.55,30.56,29.55,30.51,36674425.0,30.264,137368
2017-07-06,29.99,30.48,29.92,30.1,24046686.0,30.201,99678
2017-07-07,30.22,30.5,29.98,30.2,19870004.0,30.265,75578
2017-07-10,30.16,30.59,29.75,30.5,21096643.0,30.185,85215
2017-07-11,30.55,31.39,30.51,31.37,23656029.0,31.112,85397
2017-07-12,31.77,31.78,31.15,31.45,18823509.0,31.51,74153
2017-07-13,31.57,31.85,30.84,31.13,19616131.0,31.324,79407
2017-07-14,31.35,31.95,31.26,31.79,20132006.0,31.764,74659
2017-07-17,31.67,31.86,31.44,31.72,18034813.0,31.668,70179
2017-07-18,31.64,31.91,31.4,31.9,11662437.0,31.74,45574
2017-07-19,32.03,32.35,31.65,31.82,17735142.0,31.896,72038
2017-07-20,31.93,32.02,31.42,32.0,18502397.0,31.835,72178
2017-07-21,31.9,32.1,31.62,32.01,14168354.0,31.954,53659
2017-07-24,32.0,32.01,31.5,31.67,14384681.0,31.783,51462
2017-07-25,30.77,30.83,29.65,29.9,46061534.0,30.174,161250
2017-07-26,29.82,30.05,29.68,29.81,22018595.0,29.868,89130
2017-07-27,30.27,31.3,29.66,30.24,33764639.0,30.52,130489
2017-07-28,29.98,29.98,28.96,29.28,27872683.0,29.367,103446
2017-07-31,29.43,29.55,27.87,28.12,36456751.0,28.492,136388
2017-08-01,28.24,28.94,27.83,28.34,25300272.0,28.46,96099
2017-08-02,28.96,29.43,28.22,28.63,23473109.0,28.689,90296
2017-08-03,28.38,28.4,27.61,27.83,26371891.0,27.854,90789
2017-08-04,27.86,28.3,27.27,27.92,21690044.0,27.85,75122
2017-08-07,27.93,28.61,27.8,28.59,15035605.0,28.285,59686
2017-08-08,28.62,29.34,28.61,28.84,19973184.0,28.998,82663
2017-08-09,28.51,28.89,28.36,28.58,12955109.0,28.648,54006
2017-08-10,28.34,28.38,27.43,27.49,22917789.0,27.773,88902
2017-08-11,27.42,28.04,26.85,28.01,18579350.0,27.726,82908
2017-08-14,28.8,29.36,28.72,29.24,23052225.0,29.124,85522
2017-08-15,29.49,29.81,29.14,29.68,17484038.0,29.475,67299
