date,open,high,low,close,volume,average,barCount
2017-02-13,14.52,14.6,14.31,14.32,40817580.0,14.4505,20522
2017-02-14,14.32,14.41,14.01,14.08,72926950.0,14.117,38433
2017-02-15,14.07,14.24,14.05,14.23,46297600.0,14.1723,24342
2017-02-16,14.24,14.24,14.11,14.2,23438240.0,14.1714,12718
2017-02-17,14.18,14.29,14.13,14.22,31176300.0,14.1989,16401
2017-02-21,14.29,14.34,14.18,14.26,28628030.0,14.2724,14175
2017-02-22,14.29,14.4,14.22,14.39,26794050.0,14.3401,13220
2017-02-23,14.44,14.45,14.15,14.28,37954900.0,14.2665,19871
2017-02-24,14.19,14.36,14.16,14.33,27000350.0,14.2823,14519
2017-02-27,14.31,14.39,14.24,14.34,24288370.0,14.3227,13385
2017-02-28,14.33,14.36,14.19,14.21,30545470.0,14.2419,17446
2017-03-01,14.28,14.33,14.21,14.27,34334350.0,14.2744,19163
2017-03-02,14.22,14.27,13.91,13.95,51774820.0,14.0271,29578
2017-03-03,13.97,14.09,13.83,13.91,47581030.0,13.9456,26609
2017-03-06,14.09,14.28,14.05,14.19,60698170.0,14.1804,29665
2017-03-07,14.2,14.24,14.04,14.14,32810710.0,14.1255,17685
2017-03-08,14.15,14.21,13.98,14.03,35100280.0,14.0736,18310
2017-03-09,14.0,14.12,13.97,14.05,22219170.0,14.0527,12064
2017-03-10,14.13,14.18,14.03,14.09,25565720.0,14.0962,13727
2017-03-13,14.09,14.37,14.03,14.35,41631060.0,14.2577,21359
2017-03-14,14.29,14.33,14.17,14.32,36889000.0,14.2682,18840
2017-03-15,14.42,14.55,14.32,14.53,47355420.0,14.4618,25585
2017-03-16,14.55,14.65,14.42,14.44,41762310.0,14.519,23488
2017-03-17,14.4,14.58,14.34,14.51,46810170.0,14.475,22891
2017-03-20,14.52,14.63,14.46,14.58,28555730.0,14.5645,17085
2017-03-21,14.65,14.77,14.21,14.24,63952500.0,14.4499,36437
2017-03-22,14.26,14.38,14.08,14.27,55452330.0,14.1877,33385
2017-03-23,14.21,14.29,14.13,14.18,27529760.0,14.1947,15855
