date,open,high,low,close,volume,average,barCount
2017-02-07,2.97,3.02,2.95,2.98,657191400.0,2.99,70278
2017-02-08,2.96,2.98,2.91,2.97,388530200.0,2.953075,42713
2017-02-09,2.97,2.98,2.89,2.91,595112640.0,2.937825,70439
2017-02-10,3.0,3.02,2.82,2.84,1452463120.0,2.877075,170388
2017-02-13,2.83,2.85,2.71,2.71,1052327600.0,2.75405,103323
2017-02-14,2.7,2.75,2.66,2.72,756338560.0,2.716025,82518
2017-02-15,2.72,2.75,2.69,2.73,324217320.0,2.718025,35142
2017-02-16,2.73,2.74,2.64,2.68,562394760.0,2.677075,64153
2017-02-17,2.67,2.69,2.62,2.68,487843800.0,2.657425,53458
2017-02-21,2.71,2.78,2.71,2.78,460153840.0,2.7554,51212
2017-02-22,2.79,2.8,2.75,2.77,365741800.0,2.769525,39242
2017-02-23,2.64,2.66,2.49,2.51,1431084560.0,2.541925,146402
2017-02-24,2.43,2.55,2.39,2.54,870140440.0,2.498975,96107
2017-02-27,2.55,2.63,2.54,2.61,609067320.0,2.604675,69132
2017-02-28,2.62,2.63,2.52,2.54,512323600.0,2.55515,59894
2017-03-01,2.59,2.61,2.53,2.57,426496320.0,2.5624,46159
2017-03-02,2.56,2.57,2.47,2.48,629195600.0,2.508275,73231
2017-03-03,2.46,2.47,2.41,2.46,773194120.0,2.44515,85440
2017-03-06,2.43,2.45,2.38,2.44,813928200.0,2.41175,86552
2017-03-07,2.44,2.49,2.43,2.47,540606000.0,2.464025,62128
2017-03-08,2.52,2.53,2.46,2.46,558394240.0,2.495875,58694
2017-03-09,2.45,2.49,2.44,2.46,398106160.0,2.45865,44356
2017-03-10,2.49,2.5,2.46,2.48,424617720.0,2.476725,45151
2017-03-13,2.49,2.56,2.49,2.55,676689000.0,2.53415,75895
2017-03-14,2.56,2.57,2.51,2.54,451475840.0,2.532675,50826
2017-03-15,2.56,2.57,2.51,2.56,542643440.0,2.54705,61415
2017-03-16,2.57,2.6,2.56,2.6,468986160.0,2.58205,52150
2017-03-17,2.61,2.65,2.6,2.65,698363000.0,2.627475,77174
