date,open,high,low,close,volume,average,barCount
2020-09-30,10.0,11.42,9.11,9.5,325453158.0,10.32233,486281
2020-10-01,9.69,10.1,9.23,9.46,111222547.0,9.57263,217981
2020-10-02,9.06,9.28,8.94,9.2,50750006.0,9.13071,106682
2020-10-05,9.43,9.49,8.92,9.03,33618901.0,9.09707,72245
2020-10-06,9.04,10.18,8.9,9.9,74205794.0,9.64312,173867
2020-10-07,10.04,10.49,9.99,10.0,51087841.0,10.25825,120324
2020-10-08,10.29,10.4,9.99,10.0,32119219.0,10.19648,72512
2020-10-09,10.13,10.19,9.89,9.95,17720347.0,10.01725,34013
2020-10-12,10.04,10.05,9.66,9.89,19052907.0,9.93336,37438
2020-10-13,9.87,9.88,9.41,9.47,20477966.0,9.5584,46556
2020-10-14,9.6,9.66,9.29,9.34,12347601.0,9.43687,30591
2020-10-15,9.27,9.91,9.18,9.91,11557688.0,9.53018,23617
2020-10-16,9.94,9.95,9.66,9.71,9999879.0,9.75902,24616
2020-10-19,9.79,9.82,9.53,9.57,8319102.0,9.63785,22127
2020-10-20,9.6,9.66,9.27,9.27,9847134.0,9.42963,20268
2020-10-21,9.3,9.48,9.2,9.2,8444994.0,9.29418,21338
2020-10-22,9.37,9.75,9.22,9.68,16452420.0,9.55873,43215
2020-10-23,9.71,9.83,9.47,9.49,11687738.0,9.61076,29559
2020-10-26,9.72,9.97,9.6,9.95,21743057.0,9.79934,49398
2020-10-27,10.0,11.04,9.92,10.95,50881550.0,10.57395,105060
2020-10-28,10.66,10.985,10.1,10.85,27816471.0,10.59359,57333
2020-10-29,10.9,11.1,10.56,10.75,18899008.0,10.89222,41476
2020-10-30,10.65,10.68,9.85,10.13,18195166.0,10.19445,39323
2020-11-02,10.23,10.56,10.23,10.54,10775509.0,10.4206,25051
2020-11-03,10.57,10.94,10.44,10.5,20461247.0,10.68966,52518
2020-11-04,10.82,10.92,10.55,10.72,14282682.0,10.75091,36077
2020-11-05,10.9,12.13,10.85,11.88,45879277.0,11.69823,104314
2020-11-06,12.22,14.96,12.05,13.83,84141693.0,13.85117,213574
2020-11-09,14.96,15.9,14.11,14.67,53125037.0,15.08537,124325
2020-11-10,14.99,15.01,13.18,14.0,35130106.0,13.95731,72199
2020-11-11,14.57,15.97,14.4,15.96,41979459.0,15.20733,93081
2020-11-12,16.66,17.06,14.41,14.58,80847989.0,15.28262,189161
2020-11-13,14.49,16.0,14.48,15.8,66346029.0,15.40094,176779
2020-11-16,15.96,16.1,15.01,15.93,57220757.0,15.73124,150128
2020-11-17,16.29,18.75,16.18,17.85,108712814.0,17.70797,260689
2020-11-18,18.28,19.25,17.54,17.9,81380889.0,18.39739,190808
2020-11-19,18.5,18.98,17.96,18.98,50667203.0,18.49023,126827
2020-11-20,19.03,19.66,18.0,18.15,65154341.0,18.69819,159074
2020-11-23,18.63,21.45,18.57,21.04,77042858.0,20.03751,186829
2020-11-24,22.35,24.27,20.63,23.82,103968373.0,22.81084,255627
2020-11-25,23.96,29.75,23.69,29.05,187243208.0,27.26397,480911
2020-11-27,31.19,33.5,26.12,27.66,182788492.0,29.90948,487120
2020-11-30,28.24,30.15,24.11,27.11,121723317.0,27.16001,308959
2020-12-01,28.09,28.14,24.45,25.67,76122040.0,25.70318,190319
2020-12-02,22.23,23.4,21.15,22.51,127138956.0,22.32949,285401
2020-12-03,23.53,25.62,23.5,24.03,75324862.0,24.41324,181224
2020-12-04,24.88,25.24,23.51,23.85,50136296.0,24.15344,123937
2020-12-07,24.44,29.0,24.44,28.94,105335303.0,26.95801,263300
2020-12-08,30.63,31.24,27.25,28.59,111719489.0,28.84533,282781
2020-12-09,28.68,28.85,25.33,26.63,71811184.0,26.96674,185858
2020-12-10,25.5412,28.04,25.15,27.04,52203946.0,27.09827,122142
2020-12-11,27.15,28.27,26.06,27.2,48147145.0,27.01185,112861
2020-12-14,28.26,28.26,26.7301,27.24,40010929.0,27.42444,108452
2020-12-15,26.82,27.1,25.52,26.43,44222232.0,26.10996,103358
2020-12-16,25.71,26.16,25.11,25.92,39122694.0,25.66462,97114
2020-12-17,26.5,27.45,26.05,27.23,48986533.0,26.92598,124638
2020-12-18,26.27,26.85,25.87,25.97,44527124.0,26.25949,123328
2020-12-21,26.19,28.7,25.4,28.51,68957695.0,27.20227,170553
2020-12-22,29.03,29.42,26.82,28.04,59334401.0,28.01284,148825
2020-12-23,28.95,29.39,28.05,28.69,51583552.0,28.77617,129664
2020-12-24,28.7976,29.16,27.52,27.75,22988794.0,28.17499,57631
2020-12-28,28.39,28.59,25.4,25.63,48853974.0,26.40541,138297
2020-12-29,25.75,26.1823,24.34,24.66,41663264.0,24.98367,112032
2020-12-30,24.97,25.91,24.63,25.1,27932849.0,25.30162,76832
2020-12-31,24.63,24.72,23.52,23.55,34163413.0,23.93221,100314
2021-01-04,23.91,24.5,22.5,23.37,38708776.0,23.56397,110232
2021-01-05,23.18,24.67,22.89,24.6,25810442.0,23.95802,68461
2021-01-06,24.13,24.46,23.25,23.54,27843000.0,23.86852,76422
2021-01-07,24.02,25.19,23.67,25.0,29041542.0,24.56002,72093
2021-01-08,25.7,26.44,24.7,25.2,36418950.0,25.61044,92723
2021-01-11,24.61,26.6,24.31,25.93,28790928.0,25.8302,73306
2021-01-12,26.34,26.42,25.51,26.18,24016107.0,25.99302,54838
2021-01-13,25.71,27.4298,25.13,25.5,44944269.0,26.20954,124888
2021-01-14,25.45,25.62,24.37,24.92,27453273.0,24.98715,82431
2021-01-15,26.23,28.0,25.46,25.64,82277164.0,26.79255,221582
2021-01-19,26.81,27.54,26.0,26.62,42145646.0,26.77286,112262
2021-01-20,27.2,27.3,25.7,26.34,33726099.0,26.44587,90269
2021-01-21,26.42,26.68,25.3,25.98,25454714.0,25.92222,69793
2021-01-22,25.85,32.65,25.82,32.58,143858236.0,29.75349,369943
2021-01-25,34.46,39.58,29.56,36.23,169830861.0,35.28688,486978
2021-01-26,35.14,36.87,34.32,35.37,55486135.0,35.4769,168278
2021-01-27,32.97,45.0,32.25,39.0,151319163.0,39.42564,494195
2021-01-28,39.54,42.0,33.1,35.66,70114256.0,36.59121,226780
2021-01-29,36.61,38.01,34.66,35.18,35817728.0,36.34047,121542
2021-02-01,35.33,35.6199,32.58,33.96,37707381.0,34.00768,138971
2021-02-02,34.03,34.2,30.5,31.02,60977934.0,31.63694,205185
2021-02-03,32.39,32.95,31.38,31.76,29663595.0,32.1433,99963
2021-02-04,32.58,33.18,31.05,32.05,27485403.0,31.91618,87543
2021-02-05,32.61,35.2,31.75,34.05,55704216.0,33.9337,180804
2021-02-08,37.22,39.22,35.89,36.05,60380569.0,37.39916,204358
2021-02-09,36.91,38.255,36.13,38.17,37475203.0,37.33208,118394
2021-02-10,38.15,38.24,35.0,35.7,38617911.0,36.48263,150924
2021-02-11,35.77,35.94,32.61,33.11,44981460.0,33.95658,170995
2021-02-12,33.4,33.65,31.34,31.91,49667939.0,32.11559,191413
2021-02-16,30.04,30.44,27.3,27.84,140404503.0,28.67704,454798
2021-02-17,27.99,29.73,27.0,27.08,123684495.0,28.45632,370527
2021-02-18,24.99,26.31,24.5,25.17,237355521.0,25.22326,756242
2021-02-19,27.05,29.96,26.9,29.0,264810808.0,28.47566,770770
2021-02-22,29.96,30.19,27.536,28.0,151876777.0,28.72758,451115
2021-02-23,25.96,27.46,23.9,26.75,119352315.0,26.00344,345267
2021-02-24,26.71,27.23,25.75,26.39,74689714.0,26.4243,215519
2021-02-25,25.82,26.44,23.15,23.96,137549986.0,24.61567,395961
2021-02-26,24.2,24.5,22.7,23.9,103606009.0,23.66982,276684
2021-03-01,25.19,25.9,24.62,24.81,72689357.0,25.00581,202117
