date,open,high,low,close,volume,average,barCount
2017-02-13,54.58,55.13,54.26,54.93,12267569.0,54.794,61980
2017-02-14,55.45,55.52,54.82,55.48,11526295.0,55.193,66442
2017-02-15,55.63,56.5,55.49,56.49,11977119.0,56.072,63715
2017-02-16,56.58,56.9,56.44,56.88,9459559.0,56.663,53947
2017-02-17,56.85,56.94,56.05,56.46,9727397.0,56.307,52957
2017-02-21,56.83,57.19,56.58,56.75,7346220.0,56.82,41388
2017-02-22,56.78,57.1,56.48,57.1,6732587.0,56.783,35925
2017-02-23,57.1,57.31,56.77,57.14,8958606.0,57.061,46273
2017-02-24,57.02,57.23,56.5,57.22,8772908.0,56.852,47999
2017-02-27,56.56,56.98,56.31,56.73,6078990.0,56.632,32979
2017-02-28,56.49,56.52,55.89,56.48,6310467.0,56.234,35327
2017-03-01,56.93,57.08,56.27,57.01,9204561.0,56.794,41250
2017-03-02,56.92,57.16,56.24,56.37,6572673.0,56.478,37231
2017-03-03,56.52,56.57,56.0,56.44,5573996.0,56.265,33252
2017-03-06,56.27,56.56,56.07,56.45,5607946.0,56.345,34409
2017-03-07,56.6,56.82,56.19,56.73,5703058.0,56.635,33924
2017-03-08,56.92,58.08,56.8,57.77,11014555.0,57.754,59910
2017-03-09,57.65,58.1,57.4,57.97,7344503.0,57.79,44182
2017-03-10,58.36,58.79,58.3,58.64,7565981.0,58.536,41545
2017-03-13,59.03,59.04,58.2,58.46,6008887.0,58.463,37399
2017-03-14,58.38,58.38,57.72,58.22,5119172.0,58.05,31396
2017-03-15,58.42,58.75,58.18,58.52,6334864.0,58.492,36900
2017-03-16,58.36,58.73,58.16,58.35,5792227.0,58.363,35009
2017-03-17,58.57,58.61,57.51,57.55,9550017.0,58.114,42312
2017-03-20,57.79,58.07,57.59,57.81,5790195.0,57.825,37046
2017-03-21,57.93,58.1,56.74,56.8,8184865.0,57.172,51248
2017-03-22,56.73,57.13,56.1,57.04,7478780.0,56.624,45625
2017-03-23,57.16,57.27,56.59,56.81,5598425.0,56.831,34149
2017-03-24,57.47,57.47,56.64,56.92,4455348.0,57.022,29771
2017-03-27,56.72,56.94,56.48,56.66,3679519.0,56.748,21273
2017-03-28,56.67,57.61,56.67,57.38,4688023.0,57.268,30307
2017-03-29,57.09,57.37,56.86,57.36,3281208.0,57.189,21641
2017-03-30,57.36,57.65,57.19,57.2,5383061.0,57.408,29693
2017-03-31,57.46,57.69,56.97,57.34,7809299.0,57.448,42225
2017-04-03,57.26,57.34,56.04,56.5,9679814.0,56.49,55977
2017-04-04,56.3,56.91,56.25,56.68,5975587.0,56.618,32759
2017-04-05,56.74,57.53,56.42,56.47,5788112.0,56.984,35880
