date,open,high,low,close,volume,average,barCount
2017-02-06,125.42,125.85,125.35,125.83,9278829.0,125.655,34986
2017-02-07,126.06,126.55,125.97,126.29,11913162.0,126.265,38834
2017-02-08,126.11,126.68,125.88,126.5,10551853.0,126.427,34338
2017-02-09,126.63,127.24,126.56,126.96,12471671.0,126.982,44421
2017-02-10,127.19,127.56,127.02,127.38,11762969.0,127.324,38685
2017-02-13,127.75,128.26,127.71,128.1,14352955.0,128.009,47061
2017-02-14,128.15,128.54,127.74,128.53,14570304.0,128.226,44820
2017-02-15,128.44,129.35,128.37,129.29,12853973.0,128.924,38117
2017-02-16,129.37,129.63,128.92,129.25,13225747.0,129.191,44550
2017-02-17,129.09,129.82,129.04,129.81,10856006.0,129.434,36126
2017-02-21,130.03,130.53,129.99,130.45,11540816.0,130.292,39222
2017-02-22,130.32,130.59,130.11,130.5,9809201.0,130.405,31061
2017-02-23,130.66,130.7,129.49,130.01,14384057.0,129.971,45797
2017-02-24,129.49,130.26,129.38,130.26,15651661.0,129.758,49397
2017-02-27,130.02,130.43,129.8,130.42,10472722.0,130.169,35651
2017-02-28,130.39,130.45,129.66,130.02,10881327.0,130.046,37365
2017-03-01,130.81,131.68,130.6,131.44,18348313.0,131.25,60315
2017-03-02,131.43,131.43,130.62,130.78,13393442.0,130.994,45477
2017-03-03,130.65,131.06,130.34,131.02,10062698.0,130.792,34364
2017-03-06,130.56,130.95,130.21,130.73,9530917.0,130.585,33693
2017-03-07,130.44,131.08,130.28,130.51,12139930.0,130.652,39994
2017-03-08,130.56,131.15,130.46,130.74,12624209.0,130.831,42596
2017-03-09,130.71,131.02,130.14,130.84,16700468.0,130.666,45149
2017-03-10,131.42,131.6,130.82,131.39,15723393.0,131.28,55671
2017-03-13,131.34,131.64,131.27,131.61,9024655.0,131.459,30742
2017-03-14,131.31,131.36,130.76,131.29,11062379.0,131.112,38884
2017-03-15,131.58,132.41,131.14,132.1,20097796.0,131.856,64517
2017-03-16,132.34,132.35,131.71,132.01,12475233.0,132.004,44467
2017-03-17,131.86,132.04,131.62,131.69,12712864.0,131.82,40215
