date,open,high,low,close,volume,average,barCount
2019-05-10,42.0,45.0,41.06,41.57,175480604.0,43.004,457452
2019-05-13,38.79,39.24,36.08,37.1,69816502.0,37.497,241012
2019-05-14,38.31,39.96,36.85,39.96,41290367.0,38.167,133953
2019-05-15,39.37,41.88,38.95,41.29,33116331.0,40.646,108795
2019-05-16,41.48,44.06,41.25,43.0,30429194.0,42.842,99243
2019-05-17,41.98,43.29,41.27,41.91,18327131.0,42.206,66502
2019-05-20,41.19,41.68,39.46,41.59,18702932.0,40.777,66739
2019-05-21,42.0,42.24,41.25,41.5,9366257.0,41.638,34306
2019-05-22,41.05,41.28,40.5,41.25,8265659.0,40.878,31981
2019-05-23,40.8,41.09,40.02,40.47,10287082.0,40.443,33862
2019-05-24,41.28,41.51,40.5,41.51,7204732.0,41.003,24013
2019-05-28,41.7,41.8,40.6,40.95,7936626.0,40.958,34578
2019-05-29,40.52,40.71,39.14,39.94,12121649.0,39.714,42638
2019-05-30,40.07,40.38,39.5,39.8,18604320.0,39.852,60477
2019-05-31,41.15,41.57,39.41,40.41,20954864.0,40.198,79721
2019-06-03,40.74,41.85,40.24,41.25,15497569.0,41.098,51805
2019-06-04,42.56,42.88,40.7,42.75,20794510.0,42.011,76442
2019-06-05,42.87,45.66,42.5,45.0,26356747.0,44.213,94396
2019-06-06,45.0,45.75,44.28,44.92,14877825.0,44.928,53188
2019-06-07,44.92,45.67,44.13,44.16,10998138.0,44.963,34958
2019-06-10,44.02,44.59,42.53,42.61,10633215.0,43.392,36316
2019-06-11,43.22,43.65,41.8,42.45,8188397.0,42.609,29564
2019-06-12,42.52,42.65,41.71,42.17,5298602.0,42.183,20394
2019-06-13,43.05,44.35,42.8,44.31,8891027.0,43.347,33355
2019-06-14,44.75,44.8,43.11,43.23,7167207.0,43.742,26197
2019-06-17,43.28,44.08,42.93,43.78,5314855.0,43.623,20174
2019-06-18,44.3,44.89,43.75,43.86,6610706.0,44.313,22691
2019-06-19,44.46,45.5,43.95,44.86,9590172.0,44.819,33287
2019-06-20,45.03,45.29,43.51,43.86,8129160.0,44.278,30937
2019-06-21,43.85,44.14,43.38,44.0,3962061.0,43.899,16674
2019-06-24,44.0,44.07,42.82,43.09,5124269.0,43.189,22807
2019-06-25,43.28,43.79,42.44,43.09,4806785.0,43.091,22152
2019-06-26,43.25,43.4,42.36,42.5,5191440.0,42.776,26503
2019-06-27,43.35,45.3,43.2,45.13,13694950.0,44.651,55551
2019-06-28,45.1,47.08,45.08,46.38,18429414.0,46.367,73828
2019-07-01,46.98,47.04,44.12,44.27,15338358.0,45.016,57426
2019-07-02,44.55,44.68,43.75,44.0,10668815.0,44.127,41937
2019-07-03,44.0,44.46,43.79,44.23,2996804.0,44.104,12529
2019-07-05,44.31,44.55,43.01,43.53,7494389.0,43.584,33690
2019-07-08,43.59,43.85,42.75,42.95,8716485.0,43.045,31364
2019-07-09,43.18,44.23,42.98,44.2,4510697.0,43.688,16339
2019-07-10,44.48,44.8,43.56,43.7,8494856.0,43.959,31243
2019-07-11,44.1,44.29,43.31,43.99,6235071.0,43.69,21484
2019-07-12,44.16,44.24,43.39,43.99,6672349.0,43.797,24256
2019-07-15,44.2,44.7,43.97,44.53,5172252.0,44.351,19124
2019-07-16,44.6,44.98,44.02,44.13,4697697.0,44.464,20603
2019-07-17,44.06,44.35,43.52,43.62,5199773.0,43.788,20559
2019-07-18,43.5,43.85,43.19,43.71,3618598.0,43.598,15633
2019-07-19,43.9,44.09,43.16,43.18,3510241.0,43.513,12941
2019-07-22,43.25,43.72,43.01,43.69,3434441.0,43.464,14544
2019-07-23,43.75,44.31,43.11,43.36,4578992.0,43.489,17970
2019-07-24,43.36,43.87,43.36,43.76,3385574.0,43.659,13514
2019-07-25,43.72,43.96,43.21,43.4,3888541.0,43.394,14439
2019-07-26,43.42,44.96,43.39,44.52,7055752.0,44.334,24245
2019-07-29,45.0,45.63,43.12,43.88,7798478.0,44.42,30539
2019-07-30,43.75,43.75,42.49,42.59,7025786.0,42.781,26355
2019-07-31,42.7,42.98,41.84,42.14,5176972.0,42.323,20718
2019-08-01,42.14,42.54,41.0,41.31,6534137.0,41.668,25025
2019-08-02,41.05,41.06,39.95,40.4,7311082.0,40.297,32353
2019-08-05,39.35,39.42,38.43,39.05,8646033.0,38.985,41719
2019-08-06,39.74,40.81,38.36,39.15,7612246.0,38.985,30014
2019-08-07,39.06,39.99,38.32,39.7,6690192.0,39.451,32156
2019-08-08,41.98,43.0,41.25,42.97,19073418.0,42.41,79258
2019-08-09,39.56,40.68,38.71,40.05,30763954.0,39.716,116213
2019-08-12,39.83,39.95,37.0,37.0,18522229.0,37.747,69969
2019-08-13,37.0,37.46,36.12,36.45,17185194.0,36.749,65893
2019-08-14,36.0,36.3,33.36,33.96,22507002.0,34.352,87102
2019-08-15,34.52,34.55,32.92,33.22,11765131.0,33.393,46964
2019-08-16,33.46,35.48,33.4,35.23,12418955.0,34.653,45719
2019-08-19,35.53,35.8,34.37,34.61,9514435.0,35.056,36032
2019-08-20,34.48,36.07,34.39,35.29,9710567.0,35.479,36553
2019-08-21,35.5,35.83,34.75,34.91,7007550.0,35.042,28667
2019-08-22,34.8,34.91,33.52,34.0,7398183.0,34.019,28162
2019-08-23,33.65,34.23,33.12,33.43,7029182.0,33.465,29266
2019-08-26,33.67,33.83,33.06,33.31,4527729.0,33.366,19020
2019-08-27,33.69,34.24,32.98,33.11,5816678.0,33.475,21348
2019-08-28,32.56,33.05,32.26,32.59,5496085.0,32.657,23008
2019-08-29,32.9,33.3,32.6,32.76,5149115.0,32.955,19919
2019-08-30,33.0,33.13,32.04,32.57,5903235.0,32.406,23729
2019-09-03,32.1,32.53,30.66,30.7,10849907.0,31.216,41080
2019-09-04,30.91,32.36,30.85,31.99,9010703.0,31.709,31524
2019-09-05,32.33,33.03,32.25,32.51,6767887.0,32.639,26231
2019-09-06,32.71,32.74,31.41,31.86,6179976.0,31.855,23792
2019-09-09,32.05,32.39,31.46,32.24,6552163.0,31.92,25346
2019-09-10,32.0,33.74,31.65,33.51,9705957.0,33.033,36212
2019-09-11,33.38,35.14,33.02,34.0,13556127.0,34.157,50795
2019-09-12,34.14,34.49,33.33,34.07,6885618.0,34.008,28418
2019-09-13,34.25,34.44,32.94,33.25,8191868.0,33.268,32495
2019-09-16,33.6,34.8,33.47,34.43,7067103.0,34.443,26448
2019-09-17,34.75,34.75,33.55,34.29,4632090.0,34.196,18134
2019-09-18,34.35,34.89,33.75,34.26,5900333.0,34.333,21116
2019-09-19,34.2,34.64,33.68,33.82,5875331.0,34.076,22105
2019-09-20,33.98,34.22,32.5,32.6,9267214.0,32.952,34839
2019-09-23,32.52,33.01,32.06,33.0,4475393.0,32.66,20098
2019-09-24,33.0,33.15,31.01,31.3,9212763.0,31.646,36192
2019-09-25,31.27,31.72,30.76,31.68,7251520.0,31.395,23664
2019-09-26,31.72,32.13,31.13,31.57,5434477.0,31.673,21807
2019-09-27,31.71,31.9,30.13,30.29,10973081.0,30.774,41851
2019-09-30,30.4,30.74,30.17,30.47,4323952.0,30.465,20017
