date,open,high,low,close,volume,average,barCount
2018-07-30,9.7,9.9,9.7,9.85,329758.0,9.813,93
2018-07-31,9.85,9.85,9.85,9.85,8700.0,9.85,17
2018-08-01,10.0,10.0,9.96,9.98,80400.0,9.985,17
2018-08-02,9.98,9.99,9.98,9.99,21000.0,9.985,9
2018-08-03,9.99,9.99,9.99,9.99,0.0,9.99,0
2018-08-06,10.09,10.09,9.95,9.96,6600.0,10.031,6
2018-08-07,9.95,9.95,9.95,9.95,500.0,9.95,1
2018-08-08,9.95,9.95,9.95,9.95,0.0,9.95,0
2018-08-09,9.9,9.9,9.9,9.9,500.0,9.9,2
2018-08-10,9.9,10.36,9.85,9.85,4000.0,9.874,10
2018-08-13,9.85,9.91,9.8,9.81,710664.0,9.808,70
2018-08-14,10.75,10.77,9.8,9.8,49925.0,10.213,119
2018-08-15,9.85,9.88,9.84,9.85,24400.0,9.857,180
2018-08-16,9.85,9.86,9.85,9.86,22871.0,9.853,207
2018-08-17,9.82,9.83,9.8,9.83,402100.0,9.808,11
2018-08-20,9.83,9.83,9.83,9.83,0.0,9.83,0
2018-08-21,9.8,9.8,9.8,9.8,0.0,9.8,0
2018-08-22,9.84,9.84,9.8,9.8,22228.0,9.833,103
2018-08-23,9.81,9.85,9.75,9.81,334252.0,9.806,200
2018-08-24,9.8,9.8,9.8,9.8,100000.0,9.8,1
2018-08-27,9.8,9.8,9.75,9.75,2380903.0,9.756,584
2018-08-28,9.76,9.76,9.72,9.75,685001.0,9.75,33
2018-08-29,9.8,9.8,9.77,9.8,52277.0,9.8,64
2018-08-30,9.8,9.8,9.8,9.8,0.0,9.8,0
2018-08-31,9.75,9.8,9.73,9.73,10600.0,9.761,7
2018-09-04,9.79,9.79,9.79,9.79,100.0,9.79,1
2018-09-05,9.75,9.8,9.75,9.8,2140.0,9.752,2
2018-09-06,9.8,9.8,9.8,9.8,0.0,9.8,0
2018-09-07,9.78,9.78,9.78,9.78,0.0,9.78,0
2018-09-10,9.75,9.87,9.75,9.87,125000.0,9.75,2
2018-09-11,9.75,9.75,9.74,9.75,179750.0,9.75,11
2018-09-12,9.75,9.8,9.75,9.8,283000.0,9.755,4
2018-09-13,9.8,9.8,9.8,9.8,0.0,9.8,0
2018-09-14,9.73,9.8,9.73,9.8,600.0,9.753,3
2018-09-17,9.84,9.84,9.75,9.75,264375.0,9.769,128
2018-09-18,9.77,9.77,9.75,9.77,7037.0,9.758,6
2018-09-19,9.78,9.84,9.77,9.78,280633.0,9.776,295
2018-09-20,9.75,9.78,9.73,9.73,47846.0,9.75,9
2018-09-21,9.75,9.77,9.75,9.75,71800.0,9.75,10
2018-09-24,9.78,9.78,9.77,9.77,300.0,9.773,3
2018-09-25,9.74,9.77,9.74,9.77,47287.0,9.757,55
2018-09-26,9.75,9.75,9.74,9.75,2200.0,9.75,4
2018-09-27,9.75,9.77,9.75,9.75,8900.0,9.763,14
2018-09-28,9.75,9.77,9.73,9.75,65127.0,9.75,28
