date,open,high,low,close,volume,average,barCount
2017-02-07,65.98,66.13,64.97,65.32,3988490.0,65.512,19156
2017-02-08,64.89,66.15,64.56,65.89,4407015.0,65.532,23155
2017-02-09,65.88,67.19,65.85,67.07,3969302.0,66.862,21761
2017-02-10,67.18,67.38,66.62,66.75,2692848.0,66.979,13780
2017-02-13,67.14,67.51,66.73,66.98,2972589.0,67.201,17458
2017-02-14,66.9,68.08,66.64,67.99,4514789.0,67.474,22593
2017-02-15,67.91,69.21,67.72,69.11,3931229.0,68.605,21639
2017-02-16,69.17,69.85,67.8,68.69,5246027.0,68.569,26856
2017-02-17,68.31,69.51,68.09,69.45,3449035.0,69.081,19211
2017-02-21,69.8,69.92,68.83,69.01,2951626.0,69.208,15453
2017-02-22,68.83,69.11,67.71,67.79,2361490.0,68.27,13247
2017-02-23,67.86,67.96,66.26,67.14,3517854.0,67.072,20090
2017-02-24,66.43,67.42,66.3,67.24,4401433.0,66.945,23771
2017-02-27,67.27,70.61,67.13,70.48,5103773.0,69.33,29110
2017-02-28,70.26,71.34,69.5,70.21,7456098.0,70.5,37706
2017-03-01,71.2,71.81,70.34,71.47,6255907.0,71.334,30158
2017-03-02,71.16,72.43,70.5,70.6,5076231.0,71.393,27149
2017-03-03,70.62,71.48,70.56,71.35,2611459.0,71.119,15376
2017-03-06,71.02,71.14,70.09,70.73,2273847.0,70.689,14778
2017-03-07,69.9,70.49,69.19,69.59,3553565.0,69.85,18877
2017-03-08,69.87,71.52,69.7,70.61,4186183.0,70.844,19392
2017-03-09,70.69,71.56,70.12,70.96,3545294.0,70.919,20474
2017-03-10,71.58,71.59,70.24,71.5,3910144.0,71.071,21680
2017-03-13,71.54,71.76,70.76,71.63,2911875.0,71.384,16899
2017-03-14,71.34,71.4,70.45,70.84,3063093.0,70.838,17379
2017-03-15,70.95,72.58,70.81,72.32,3434080.0,71.843,21518
2017-03-16,72.24,72.35,71.19,71.46,3424600.0,71.689,20158
2017-03-17,70.84,71.59,70.55,71.02,4823486.0,71.145,25598
2017-03-20,70.83,71.36,70.47,71.14,2731234.0,70.983,15910
2017-03-21,71.45,71.53,67.62,67.76,9113255.0,68.781,44926
2017-03-22,67.75,68.69,67.41,68.42,5885470.0,68.122,31674
2017-03-23,68.46,69.2,67.93,68.16,4006263.0,68.453,20786
2017-03-24,68.39,69.05,68.1,68.72,2258157.0,68.638,13468
2017-03-27,67.97,70.0,67.74,69.75,3461061.0,69.356,19526
2017-03-28,69.79,70.4,68.97,69.31,2865863.0,69.437,16268
2017-03-29,69.58,70.52,69.42,69.73,3118851.0,70.063,17834
2017-03-30,69.74,69.83,68.64,69.25,2594278.0,69.118,13489
2017-03-31,69.26,69.64,68.81,69.34,2858314.0,69.366,17492
2017-04-03,69.49,70.0,68.29,68.31,3164177.0,69.038,18906
2017-04-04,68.21,68.95,68.04,68.34,1833951.0,68.414,10676
2017-04-05,68.59,69.02,66.57,66.93,6239497.0,67.853,33031
2017-04-06,67.08,67.2,66.0,66.84,4382720.0,66.591,24625
2017-04-07,66.66,67.44,66.4,67.32,3157748.0,66.899,19638
2017-04-10,67.46,68.26,67.22,67.31,2164571.0,67.717,12703
2017-04-11,67.16,67.6,66.27,67.12,3688944.0,66.759,21388
2017-04-12,67.35,67.93,67.12,67.44,2754870.0,67.544,15604
2017-04-13,67.35,68.89,67.29,68.47,2872587.0,68.469,14548
2017-04-17,68.5,69.0,68.02,68.81,2447467.0,68.654,13426
2017-04-18,68.63,68.68,67.46,67.85,2669248.0,67.881,17268
2017-04-19,68.06,68.91,67.71,68.09,3088410.0,68.354,16883
2017-04-20,68.33,68.81,67.94,68.6,3421104.0,68.497,20052
2017-04-21,68.56,68.75,67.69,67.98,3396252.0,68.038,19776
2017-04-24,68.63,69.36,68.39,69.16,2623832.0,68.981,15739
2017-04-25,69.75,71.04,69.58,70.58,5804318.0,70.648,32796
2017-04-26,70.69,70.98,70.28,70.55,3687129.0,70.625,18043
2017-04-27,70.87,71.64,70.52,71.19,2777662.0,71.205,15715
2017-04-28,71.27,71.73,70.83,71.44,2054829.0,71.262,11191
2017-05-01,71.65,72.2,71.47,72.13,1936562.0,71.965,10464
